Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Ederson,br BRA,GK,29-232,28.0,842,981,85.8,20448,13411,183,185,98.9,444,450,98.7,214,343,62.4,1,0.2,0.2,0.8,1,8,0,0,0,Matches
Rodri,es ESP,MF,26-288,25.8,2228,2442,91.2,41025,10021,902,972,92.8,1040,1113,93.4,250,294,85.0,5,3.9,3.2,1.1,30,232,28,3,221,Matches
Erling Haaland,no NOR,FW,22-259,23.5,271,373,72.7,3371,670,161,202,79.7,78,106,73.6,6,8,75.0,5,3.7,2.6,1.3,19,11,16,0,41,Matches
Kevin De Bruyne,be BEL,MF,31-282,22.5,949,1314,72.2,17916,5371,417,498,83.7,387,512,75.6,132,230,57.4,13,11.2,12.1,1.8,81,105,82,17,204,Matches
İlkay Gündoğan,de GER,MF,32-164,20.5,930,1090,85.3,14489,3382,498,556,89.6,334,371,90.0,67,92,72.8,3,2.7,3.3,0.3,32,101,30,1,132,Matches
Bernardo Silva,pt POR,"MF,FW",28-239,19.9,1071,1253,85.5,17209,2965,575,621,92.6,380,433,87.8,80,126,63.5,5,2.8,3.4,2.2,26,61,28,8,100,Matches
Manuel Akanji,ch SUI,DF,27-261,19.1,1414,1516,93.3,24225,7739,642,665,96.5,669,702,95.3,86,121,71.1,1,0.3,0.4,0.7,5,102,2,1,89,Matches
Jack Grealish,eng ENG,"FW,MF",27-208,17.9,712,843,84.5,10254,1841,437,475,92.0,226,260,86.9,29,49,59.2,5,5.3,5.1,-0.3,39,22,30,0,72,Matches
Nathan Aké,nl NED,DF,28-047,17.8,1410,1558,90.5,22606,7907,688,723,95.2,640,693,92.4,56,88,63.6,0,0.6,1.1,-0.6,8,129,7,1,120,Matches
Phil Foden,eng ENG,FW,22-313,15.6,678,846,80.1,10379,1859,388,430,90.2,219,260,84.2,43,89,48.3,5,3.0,3.5,2.0,33,28,26,8,62,Matches
Rúben Dias,pt POR,DF,25-327,16.2,1356,1465,92.6,25024,8868,482,506,95.3,764,800,95.5,100,138,72.5,0,0.1,0.2,-0.1,2,98,0,0,76,Matches
João Cancelo,pt POR,DF,28-314,14.2,1036,1220,84.9,16674,4147,578,621,93.1,363,430,84.4,81,123,65.9,1,0.9,1.5,0.1,12,80,36,9,106,Matches
John Stones,eng ENG,"DF,MF",28-313,15.1,1114,1194,93.3,18888,5285,527,552,95.5,491,518,94.8,80,98,81.6,2,1.3,0.9,0.7,6,85,2,0,79,Matches
Kyle Walker,eng ENG,DF,32-313,13.0,1024,1186,86.3,17822,5119,460,496,92.7,464,517,89.7,87,136,64.0,0,0.2,0.4,-0.2,5,120,5,2,111,Matches
Riyad Mahrez,dz ALG,"FW,MF",32-044,12.8,596,714,83.5,9933,1911,312,349,89.4,215,249,86.3,58,89,65.2,5,4.5,3.3,0.5,32,26,27,6,57,Matches
Julián Álvarez,ar ARG,"FW,MF",23-065,9.3,214,274,78.1,2815,472,126,149,84.6,54,72,75.0,12,16,75.0,0,1.2,0.9,-1.2,11,13,8,2,24,Matches
Aymeric Laporte,es ESP,DF,28-314,6.2,441,482,91.5,7435,2135,215,225,95.6,185,200,92.5,34,44,77.3,0,0.2,0.3,-0.2,4,46,6,0,46,Matches
Rico Lewis,eng ENG,"DF,MF",18-136,6.0,389,423,92.0,5624,846,239,250,95.6,130,138,94.2,11,15,73.3,0,0.8,1.0,-0.8,7,22,8,3,31,Matches
Sergio Gómez,es ESP,"DF,MF",22-214,1.6,102,120,85.0,1561,427,52,57,91.2,39,44,88.6,5,8,62.5,1,0.4,0.2,0.6,2,13,2,0,10,Matches
Cole Palmer,eng ENG,"FW,MF",20-335,1.3,64,74,86.5,1041,153,34,35,97.1,26,29,89.7,3,7,42.9,0,0.2,0.3,-0.2,3,2,5,1,7,Matches
Kalvin Phillips,eng ENG,MF,27-125,0.7,55,60,91.7,880,166,26,30,86.7,26,26,100.0,2,3,66.7,0,0.0,0.0,0.0,1,5,0,0,3,Matches
Máximo Perrone,ar ARG,MF,20-089,0.2,18,21,85.7,228,32,11,12,91.7,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,2,Matches
Squad Total,,,27.9,28.0,16914,19449,87.0,289847,84727,7953,8609,92.4,7179,7928,90.6,1436,2117,67.8,52,43.1,43.9,8.9,359,1309,348,62,1593,
Opponent Total,,,27.5,28.0,8371,10747,77.9,151654,55624,3656,4177,87.5,3595,4128,87.1,882,1819,48.5,16,16.2,14.2,-0.2,152,482,142,39,651,
