Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Ederson,br BRA,GK,29-214,27,27,2430,27.0,25,0.93,60,36,63.3,19,4,4,10,37.0,3,3,0,0,0.0,Matches
Squad Total,,,27.9,27,27,2430,27.0,25,0.93,60,36,63.3,19,4,4,10,37.0,3,3,0,0,0.0,
Opponent Total,,,27.5,27,27,2430,27.0,67,2.48,151,86,59.6,4,4,19,2,7.4,6,6,0,0,0.0,
