Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Ederson,br BRA,GK,29-232,28.0,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,9,2,Matches
Rodri,es ESP,MF,26-288,25.8,58,36,24,24,10,23,42,54.8,19,36,13,23,27,85,31,1,Matches
Erling Haaland,no NOR,FW,22-259,23.5,3,2,0,2,1,1,4,25.0,3,9,3,6,2,5,11,0,Matches
Kevin De Bruyne,be BEL,MF,31-282,22.5,24,10,3,11,10,12,34,35.3,22,19,2,17,6,30,10,0,Matches
İlkay Gündoğan,de GER,MF,32-164,20.5,24,14,4,10,10,9,23,39.1,14,13,3,10,15,39,12,0,Matches
Bernardo Silva,pt POR,"MF,FW",28-239,19.9,41,22,11,23,7,18,35,51.4,17,19,3,16,14,55,5,0,Matches
Manuel Akanji,ch SUI,DF,27-261,19.1,26,17,10,13,3,18,29,62.1,11,23,8,15,14,40,26,0,Matches
Jack Grealish,eng ENG,"FW,MF",27-208,17.9,20,12,8,10,2,11,17,64.7,6,16,2,14,5,25,7,0,Matches
Nathan Aké,nl NED,DF,28-047,17.8,22,8,13,7,2,9,13,69.2,4,17,9,8,17,39,38,0,Matches
Phil Foden,eng ENG,FW,22-313,15.6,14,8,8,4,2,7,13,53.8,6,17,1,16,5,19,8,0,Matches
Rúben Dias,pt POR,DF,25-327,16.2,17,10,8,8,1,7,10,70.0,3,16,9,7,17,34,42,0,Matches
João Cancelo,pt POR,DF,28-314,14.2,29,21,16,9,4,17,24,70.8,7,7,1,6,19,48,9,1,Matches
John Stones,eng ENG,"DF,MF",28-313,15.1,18,10,9,5,4,4,6,66.7,2,12,7,5,6,24,28,0,Matches
Kyle Walker,eng ENG,DF,32-313,13.0,9,6,4,5,0,2,15,13.3,13,7,2,5,9,18,8,0,Matches
Riyad Mahrez,dz ALG,"FW,MF",32-044,12.8,15,7,2,6,7,9,22,40.9,13,18,0,18,5,20,2,0,Matches
Julián Álvarez,ar ARG,"FW,MF",23-065,9.3,14,8,2,6,6,3,17,17.6,14,11,0,11,1,15,4,0,Matches
Aymeric Laporte,es ESP,DF,28-314,6.2,3,2,2,1,0,1,2,50.0,1,9,3,6,2,5,17,1,Matches
Rico Lewis,eng ENG,"DF,MF",18-136,6.0,13,8,7,5,1,5,9,55.6,4,4,1,3,3,16,8,0,Matches
Sergio Gómez,es ESP,"DF,MF",22-214,1.6,5,2,3,1,1,2,3,66.7,1,4,2,2,2,7,4,0,Matches
Cole Palmer,eng ENG,"FW,MF",20-335,1.3,3,1,0,1,2,1,1,100.0,0,0,0,0,1,4,1,0,Matches
Kalvin Phillips,eng ENG,MF,27-125,0.7,3,3,1,2,0,1,4,25.0,3,3,1,2,2,5,5,0,Matches
Máximo Perrone,ar ARG,MF,20-089,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Squad Total,,,27.9,28.0,362,207,136,153,73,161,325,49.5,164,261,70,191,173,535,285,5,
Opponent Total,,,27.5,28.0,400,211,242,131,27,181,416,43.5,235,343,132,211,246,646,612,12,
