2022-07-30,17:00,Community Shield,FA Community Shield,Sat,Neutral,L,1,3,Liverpool,Unnamed: 10,Unnamed: 11,57,Unnamed: 13,Rúben Dias,4-3-3,Craig Pawson,Match Report,Unnamed: 18
2022-11-02,20:00,Champions Lg,Group stage,Wed,Home,W,3.0,1.0,es Sevilla,2.0,0.4,61.0,51610.0,İlkay Gündoğan,4-3-3,Orel Grinfeeld,Match Report,
2022-11-05,15:00,Premier League,Matchweek 15,Sat,Home,W,2.0,1.0,Fulham,2.1,1.0,70.0,52395.0,İlkay Gündoğan,4-3-3,Darren England,Match Report,
2022-11-09,20:00,EFL Cup,Third round,Wed,Home,W,2.0,0.0,Chelsea,,,55.0,35674.0,İlkay Gündoğan,4-2-3-1,Simon Hooper,Match Report,
2022-11-12,12:30,Premier League,Matchweek 16,Sat,Home,L,1.0,2.0,Brentford,1.6,1.3,74.0,52786.0,İlkay Gündoğan,4-3-3,Peter Bankes,Match Report,
2022-12-22,20:00,EFL Cup,Fourth round,Thu,Home,W,3.0,2.0,Liverpool,,,57.0,47149.0,İlkay Gündoğan,4-3-3,David Coote,Match Report,
2022-12-28,20:00,Premier League,Matchweek 17,Wed,Away,W,3.0,1.0,Leeds United,4.3,0.6,69.0,36889.0,İlkay Gündoğan,4-3-3,Stuart Attwell,Match Report,
2022-12-31,15:00,Premier League,Matchweek 18,Sat,Home,D,1.0,1.0,Everton,1.7,0.1,74.0,53444.0,Kevin De Bruyne,4-3-3,Andy Madley,Match Report,
2023-01-05,20:00,Premier League,Matchweek 19,Thu,Away,W,1.0,0.0,Chelsea,2.1,0.4,52.0,39998.0,İlkay Gündoğan,3-2-4-1,Paul Tierney,Match Report,
2023-01-08,16:30,FA Cup,Third round proper,Sun,Home,W,4.0,0.0,Chelsea,,,58.0,51505.0,Kyle Walker,4-3-3,Robert Jones,Match Report,
2023-01-11,20:00,EFL Cup,Quarter-finals,Wed,Away,L,0.0,2.0,Southampton,,,72.0,22996.0,İlkay Gündoğan,4-3-3,Peter Bankes,Match Report,
2023-01-14,12:30,Premier League,Matchweek 20,Sat,Away,L,1.0,2.0,Manchester Utd,0.6,1.7,70.0,75546.0,Kevin De Bruyne,4-3-3,Stuart Attwell,Match Report,
2023-01-19,20:00,Premier League,Matchweek 7,Thu,Home,W,4.0,2.0,Tottenham,2.3,0.8,58.0,53088.0,İlkay Gündoğan,4-2-3-1,Simon Hooper,Match Report,
2023-01-22,14:00,Premier League,Matchweek 21,Sun,Home,W,3.0,0.0,Wolves,2.8,0.8,55.0,53282.0,İlkay Gündoğan,3-2-4-1,David Coote,Match Report,
2023-01-27,20:00,FA Cup,Fourth round proper,Fri,Home,W,1.0,0.0,Arsenal,,,54.0,51589.0,İlkay Gündoğan,3-2-4-1,Paul Tierney,Match Report,
2023-02-05,16:30,Premier League,Matchweek 22,Sun,Away,L,0.0,1.0,Tottenham,1.3,1.4,64.0,61747.0,Kyle Walker,4-4-2,Andy Madley,Match Report,
2023-02-12,16:30,Premier League,Matchweek 23,Sun,Home,W,3.0,1.0,Aston Villa,3.3,0.3,67.0,53392.0,İlkay Gündoğan,3-2-4-1,Robert Jones,Match Report,
2023-02-15,19:30,Premier League,Matchweek 12,Wed,Away,W,3.0,1.0,Arsenal,1.8,1.6,37.0,60276.0,İlkay Gündoğan,4-1-4-1,Anthony Taylor,Match Report,
2023-02-18,15:00,Premier League,Matchweek 24,Sat,Away,D,1.0,1.0,Nott'ham Forest,2.4,0.9,73.0,29365.0,İlkay Gündoğan,3-2-4-1,Graham Scott,Match Report,
2023-02-22,21:00,Champions Lg,Round of 16,Wed,Away,D,1.0,1.0,de RB Leipzig,1.2,0.8,62.0,45228.0,İlkay Gündoğan,3-2-4-1,Serdar Gözübüyük,Match Report,Leg 1 of 2
2023-02-25,17:30,Premier League,Matchweek 25,Sat,Away,W,4.0,1.0,Bournemouth,2.4,1.0,66.0,10481.0,İlkay Gündoğan,3-2-4-1,Paul Tierney,Match Report,
