Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Tim Ream,us USA,DF,35-127,22,1977.0,90.0,99.8,22.0,22,90.0,21,0,,0,1.45,32.0,30.0,2.0,0.09,0.09,29.0,36.8,-7.8,-0.35,-3.19,Matches
Andreas Pereira,br BRA,MF,27-039,22,1815.0,83.0,91.7,20.2,22,83.0,5,0,,0,1.45,31.0,25.0,6.0,0.3,2.48,26.7,30.8,-4.2,-0.21,1.72,Matches
João Palhinha,pt POR,MF,27-215,21,1865.0,89.0,94.2,20.7,21,89.0,18,0,,0,1.52,30.0,26.0,4.0,0.19,1.76,27.3,33.3,-6.1,-0.29,0.96,Matches
Bobby Reid,jm JAM,"FW,DF",30-007,21,1733.0,83.0,87.5,19.3,21,83.0,9,0,,0,1.52,28.0,27.0,1.0,0.05,-0.31,24.6,32.2,-7.6,-0.39,-0.37,Matches
Harrison Reed,eng ENG,MF,28-013,21,1725.0,82.0,87.1,19.2,21,82.0,11,0,,0,1.52,27.0,27.0,0.0,0.0,-0.71,24.6,32.7,-8.2,-0.43,-0.6,Matches
Bernd Leno,de GER,GK,30-342,20,1800.0,90.0,90.9,20.0,20,90.0,20,0,,2,1.5,30.0,28.0,2.0,0.1,0.1,26.4,34.6,-8.3,-0.41,-0.71,Matches
Antonee Robinson,us USA,DF,25-185,19,1648.0,87.0,83.2,18.3,19,87.0,18,0,,0,1.53,27.0,21.0,6.0,0.33,1.41,26.0,27.3,-1.3,-0.07,1.66,Matches
Aleksandar Mitrović,rs SRB,FW,28-146,18,1550.0,86.0,78.3,17.2,18,86.0,11,0,,0,1.61,26.0,20.0,6.0,0.35,1.19,24.2,25.5,-1.4,-0.08,1.24,Matches
Kenny Tete,nl NED,DF,27-123,16,1327.0,83.0,67.0,14.7,15,87.0,11,1,15.0,0,1.56,20.0,16.0,4.0,0.27,0.55,18.1,22.6,-4.5,-0.3,0.14,Matches
Willian,br BRA,FW,34-184,15,1134.0,76.0,57.3,12.6,13,81.0,3,2,38.0,0,1.6,20.0,9.0,11.0,0.87,1.83,18.7,17.6,1.0,0.08,1.01,Matches
Tosin Adarabioyo,eng ENG,DF,25-138,14,1095.0,78.0,55.3,12.2,12,90.0,12,2,8.0,8,1.64,20.0,22.0,-2.0,-0.16,-0.57,14.0,24.2,-10.3,-0.85,-1.11,Matches
Issa Diop,fr FRA,DF,26-031,14,1056.0,75.0,53.3,11.7,11,90.0,10,3,22.0,7,1.29,16.0,13.0,3.0,0.26,0.35,17.2,17.4,-0.2,-0.02,0.71,Matches
Neeskens Kebano,cd COD,FW,30-336,12,713.0,59.0,36.0,7.9,9,74.0,1,3,17.0,0,1.33,13.0,9.0,4.0,0.5,0.65,10.6,11.2,-0.6,-0.08,0.42,Matches
Carlos Vinícius,br BRA,FW,27-321,14,428.0,31.0,21.6,4.8,4,86.0,2,10,8.0,3,1.21,6.0,9.0,-3.0,-0.63,-0.92,5.1,10.3,-5.2,-1.1,-0.95,Matches
Daniel James,wls WAL,FW,25-091,12,360.0,30.0,18.2,4.0,3,63.0,0,9,19.0,4,1.33,6.0,13.0,-7.0,-1.75,-2.25,4.9,10.4,-5.5,-1.37,-1.25,Matches
Harry Wilson,wls WAL,FW,25-324,13,347.0,27.0,17.5,3.9,3,65.0,0,10,15.0,1,1.38,3.0,4.0,-1.0,-0.26,-0.42,4.7,5.8,-1.1,-0.28,0.09,Matches
Marek Rodák,sk SVK,GK,26-058,2,180.0,90.0,9.1,2.0,2,90.0,2,0,,20,1.0,2.0,2.0,0.0,0.0,-0.1,2.7,2.1,0.6,0.3,0.71,Matches
Layvin Kurzawa,fr FRA,DF,30-158,3,135.0,45.0,6.8,1.5,2,67.0,1,1,1.0,4,0.33,0.0,4.0,-4.0,-2.67,-2.96,1.1,4.4,-3.3,-2.21,-1.99,Matches
Tom Cairney,sct SCO,MF,32-020,22,471.0,21.0,23.8,5.2,1,89.0,0,21,18.0,0,1.45,9.0,6.0,3.0,0.57,0.63,9.0,9.7,-0.8,-0.15,0.26,Matches
Kevin Mbabu,ch SUI,"DF,FW",27-296,6,144.0,24.0,7.3,1.6,1,44.0,0,5,20.0,8,0.67,2.0,7.0,-5.0,-3.12,-3.47,1.4,6.8,-5.3,-3.34,-3.22,Matches
Jay Stansfield,eng ENG,FW,20-077,3,87.0,29.0,4.4,1.0,1,76.0,0,2,6.0,2,1.33,2.0,2.0,0.0,0.0,-0.1,2.2,1.8,0.4,0.44,0.83,Matches
Nathaniel Chalobah,eng ENG,MF,28-059,4,12.0,3.0,0.6,0.1,1,7.0,0,3,2.0,10,1.5,0.0,0.0,0.0,0.0,-0.09,0.1,0.4,-0.3,-1.94,-1.61,Matches
Manor Solomon,il ISR,FW,23-200,4,60.0,15.0,3.0,0.7,0,,0,4,15.0,2,1.25,1.0,1.0,0.0,0.0,-0.09,0.9,1.2,-0.3,-0.44,-0.09,Matches
Josh Onomah,eng ENG,MF,25-288,2,15.0,8.0,0.8,0.2,0,,0,2,8.0,3,0.0,0.0,2.0,-2.0,-12.0,-12.18,0.1,0.6,-0.5,-3.02,-2.69,Matches
Luke Harris,wls WAL,"MF,FW",17-312,3,13.0,4.0,0.7,0.1,0,,0,3,4.0,14,2.0,0.0,1.0,-1.0,-6.92,-7.06,0.3,1.2,-0.8,-5.88,-5.56,Matches
Shane Duffy,ie IRL,"FW,DF",31-039,4,6.0,2.0,0.3,0.1,0,,0,4,2.0,13,1.75,0.0,2.0,-2.0,-30.0,-30.18,0.0,0.6,-0.6,-8.37,-8.05,Matches
Tyrese Francois,au AUS,FW,22-208,1,1.0,1.0,0.1,0.0,0,,0,1,1.0,4,1.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.35,Matches
Terry Ablade,fi FIN,FW,21-120,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Martial Godo,eng ENG,MF,19-332,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
