Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Tim Ream,us USA,DF,35-127,22,22,1977.0,22.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.0,0.3,18.0,75.0,1.0,0.05,0.0,0.05,0.05,0.05,0.01,0.0,0.01,0.01,0.01,Matches
Andreas Pereira,br BRA,MF,27-039,22,22,1815.0,20.2,2.0,5.0,7.0,1.0,1.0,1.0,6.0,0.0,3.5,2.7,4.3,7.0,37.0,76.0,90.0,0.1,0.25,0.35,0.05,0.3,0.17,0.22,0.39,0.13,0.35,Matches
João Palhinha,pt POR,MF,27-215,21,21,1865.0,20.7,3.0,0.0,3.0,3.0,0.0,0.0,8.0,0.0,2.0,2.0,0.3,2.2,4.0,63.0,14.0,0.14,0.0,0.14,0.14,0.14,0.1,0.01,0.11,0.1,0.11,Matches
Bobby Reid,jm JAM,"FW,DF",30-007,21,21,1733.0,19.3,4.0,1.0,5.0,4.0,0.0,0.0,7.0,0.0,3.4,3.4,1.2,4.6,40.0,43.0,127.0,0.21,0.05,0.26,0.21,0.26,0.18,0.06,0.24,0.18,0.24,Matches
Harrison Reed,eng ENG,MF,28-013,21,21,1725.0,19.2,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.3,1.3,1.8,3.1,19.0,56.0,50.0,0.1,0.05,0.16,0.1,0.16,0.07,0.09,0.16,0.07,0.16,Matches
Bernd Leno,de GER,GK,30-342,20,20,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Antonee Robinson,us USA,DF,25-185,19,19,1648.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.7,0.7,58.0,70.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Aleksandar Mitrović,rs SRB,FW,28-146,18,18,1550.0,17.2,11.0,1.0,12.0,8.0,3.0,6.0,5.0,0.0,11.3,6.6,2.0,8.6,18.0,34.0,78.0,0.64,0.06,0.7,0.46,0.52,0.66,0.11,0.77,0.38,0.5,Matches
Kenny Tete,nl NED,DF,27-123,16,15,1327.0,14.7,0.0,4.0,4.0,0.0,0.0,0.0,6.0,0.0,0.3,0.3,1.0,1.3,36.0,51.0,32.0,0.0,0.27,0.27,0.0,0.27,0.02,0.07,0.09,0.02,0.09,Matches
Willian,br BRA,FW,34-184,15,13,1134.0,12.6,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.3,2.3,2.0,4.3,52.0,68.0,73.0,0.16,0.16,0.32,0.16,0.32,0.18,0.16,0.34,0.18,0.34,Matches
Tosin Adarabioyo,eng ENG,DF,25-138,14,12,1095.0,12.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,6.0,36.0,1.0,0.08,0.0,0.08,0.08,0.08,0.01,0.0,0.01,0.01,0.01,Matches
Issa Diop,fr FRA,DF,26-031,14,11,1056.0,11.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,5.0,45.0,3.0,0.09,0.0,0.09,0.09,0.09,0.02,0.0,0.03,0.02,0.03,Matches
Neeskens Kebano,cd COD,FW,30-336,12,9,713.0,7.9,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.4,1.8,37.0,21.0,63.0,0.0,0.38,0.38,0.0,0.38,0.06,0.17,0.23,0.06,0.23,Matches
Carlos Vinícius,br BRA,FW,27-321,14,4,428.0,4.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.5,1.6,2.0,4.0,17.0,0.21,0.0,0.21,0.21,0.21,0.22,0.1,0.33,0.22,0.33,Matches
Daniel James,wls WAL,FW,25-091,12,3,360.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3,1.3,0.3,1.6,15.0,12.0,27.0,0.25,0.0,0.25,0.25,0.25,0.33,0.08,0.41,0.33,0.41,Matches
Harry Wilson,wls WAL,FW,25-324,13,3,347.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,0.1,1.2,7.0,13.0,32.0,0.0,0.0,0.0,0.0,0.0,0.27,0.03,0.31,0.27,0.31,Matches
Marek Rodák,sk SVK,GK,26-058,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Layvin Kurzawa,fr FRA,DF,30-158,3,2,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tom Cairney,sct SCO,MF,32-020,22,1,471.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.2,1.9,21.0,50.0,26.0,0.0,0.0,0.0,0.0,0.0,0.12,0.24,0.36,0.12,0.36,Matches
Kevin Mbabu,ch SUI,"DF,FW",27-296,6,1,144.0,1.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,4.0,8.0,11.0,0.0,0.62,0.62,0.0,0.62,0.0,0.25,0.25,0.0,0.25,Matches
Jay Stansfield,eng ENG,FW,20-077,3,1,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.3,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.26,0.09,0.35,0.26,0.35,Matches
Nathaniel Chalobah,eng ENG,MF,28-059,4,1,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.71,0.71,0.71,Matches
Manor Solomon,il ISR,FW,23-200,4,0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches
Josh Onomah,eng ENG,MF,25-288,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luke Harris,wls WAL,"MF,FW",17-312,3,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Shane Duffy,ie IRL,"FW,DF",31-039,4,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tyrese Francois,au AUS,FW,22-208,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Terry Ablade,fi FIN,FW,21-120,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Martial Godo,eng ENG,MF,19-332,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rodrigo Muniz,br BRA,FW,21-281,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Stefan Parkes,eng ENG,DF,18-318,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kristian Sekularac,eng ENG,MF,19-064,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.9,22,242,1980.0,22.0,29.0,18.0,47.0,25.0,4.0,7.0,54.0,1.0,29.1,23.6,17.3,40.9,383.0,731.0,727.0,1.32,0.82,2.14,1.14,1.95,1.32,0.78,2.11,1.07,1.86,
Opponent Total,,,27.3,22,242,1980.0,22.0,30.0,18.0,48.0,27.0,3.0,3.0,34.0,5.0,36.8,35.0,26.8,61.8,334.0,838.0,826.0,1.36,0.82,2.18,1.23,2.05,1.67,1.22,2.89,1.59,2.81,
