Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Tim Ream,us USA,DF,35-127,22.0,21,11,10,8,3,7,16,43.8,9,32,19,13,32,53,74,0,Matches
Andreas Pereira,br BRA,MF,27-039,20.2,11,6,1,4,6,6,13,46.2,7,18,3,15,4,15,5,0,Matches
João Palhinha,pt POR,MF,27-215,20.7,98,56,33,44,21,45,73,61.6,28,32,4,28,27,125,41,1,Matches
Bobby Reid,jm JAM,"FW,DF",30-007,19.3,29,19,8,9,12,11,22,50.0,11,21,3,18,13,42,25,0,Matches
Harrison Reed,eng ENG,MF,28-013,19.2,22,15,7,13,2,9,24,37.5,15,31,4,27,13,35,26,0,Matches
Bernd Leno,de GER,GK,30-342,20.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,9,0,Matches
Antonee Robinson,us USA,DF,25-185,18.3,30,17,22,7,1,20,24,83.3,4,30,9,21,24,54,45,1,Matches
Aleksandar Mitrović,rs SRB,FW,28-146,17.2,12,6,6,4,2,4,8,50.0,4,15,4,11,2,14,16,1,Matches
Kenny Tete,nl NED,DF,27-123,14.7,47,27,26,14,7,20,22,90.9,2,25,11,14,25,72,50,0,Matches
Willian,br BRA,FW,34-184,12.6,10,6,6,2,2,6,12,50.0,6,8,0,8,6,16,4,0,Matches
Tosin Adarabioyo,eng ENG,DF,25-138,12.2,13,5,10,2,1,6,9,66.7,3,10,8,2,13,26,65,1,Matches
Issa Diop,fr FRA,DF,26-031,11.7,17,13,12,4,1,8,14,57.1,6,15,10,5,16,33,35,0,Matches
Neeskens Kebano,cd COD,FW,30-336,7.9,12,5,7,5,0,7,13,53.8,6,12,0,12,1,13,8,0,Matches
Carlos Vinícius,br BRA,FW,27-321,4.8,2,0,0,2,0,0,0,,0,4,0,4,0,2,5,0,Matches
Daniel James,wls WAL,FW,25-091,4.0,4,3,1,2,1,3,6,50.0,3,2,1,1,1,5,4,0,Matches
Harry Wilson,wls WAL,FW,25-324,3.9,10,6,5,3,2,3,4,75.0,1,5,0,5,1,11,4,0,Matches
Marek Rodák,sk SVK,GK,26-058,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
Layvin Kurzawa,fr FRA,DF,30-158,1.5,3,2,1,1,1,3,3,100.0,0,1,1,0,2,5,4,0,Matches
Tom Cairney,sct SCO,MF,32-020,5.2,13,4,2,6,5,6,6,100.0,0,8,1,7,2,15,2,0,Matches
Kevin Mbabu,ch SUI,"DF,FW",27-296,1.6,3,2,2,1,0,1,3,33.3,2,2,0,2,3,6,3,0,Matches
Jay Stansfield,eng ENG,FW,20-077,1.0,0,0,0,0,0,0,2,0.0,2,4,1,3,1,1,1,0,Matches
Nathaniel Chalobah,eng ENG,MF,28-059,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,Matches
Manor Solomon,il ISR,FW,23-200,0.7,2,1,1,1,0,2,2,100.0,0,0,0,0,1,3,0,0,Matches
Josh Onomah,eng ENG,MF,25-288,0.2,1,0,1,0,0,0,0,,0,1,0,1,0,1,0,0,Matches
Luke Harris,wls WAL,"MF,FW",17-312,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Shane Duffy,ie IRL,"FW,DF",31-039,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Tyrese Francois,au AUS,FW,22-208,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Squad Total,,,28.9,22.0,361,205,162,132,67,168,279,60.2,111,276,79,197,187,548,430,5,
Opponent Total,,,27.3,22.0,364,205,172,146,46,139,259,53.7,120,272,65,207,190,554,429,7,
