Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Tim Ream,us USA,DF,35-127,22.0,1247,1211,34,21,0,17,4,8,0,0,0,0,1073,2,2,Matches
Andreas Pereira,br BRA,MF,27-039,20.2,722,556,158,56,0,10,140,5,79,33,35,0,464,8,33,Matches
João Palhinha,pt POR,MF,27-215,20.7,729,706,21,15,0,21,2,0,0,0,0,0,592,2,11,Matches
Bobby Reid,jm JAM,"FW,DF",30-007,19.3,687,613,70,6,0,2,42,64,0,0,0,0,477,4,28,Matches
Harrison Reed,eng ENG,MF,28-013,19.2,726,692,32,8,0,2,30,3,2,1,1,0,550,2,24,Matches
Bernd Leno,de GER,GK,30-342,20.0,733,526,205,66,0,2,0,0,0,0,0,0,568,2,0,Matches
Antonee Robinson,us USA,DF,25-185,18.3,989,807,182,13,0,3,60,169,0,0,0,0,729,0,29,Matches
Aleksandar Mitrović,rs SRB,FW,28-146,17.2,376,370,6,0,4,5,3,3,0,0,0,0,226,0,17,Matches
Kenny Tete,nl NED,DF,27-123,14.7,813,609,197,18,1,7,50,179,0,0,0,0,595,7,23,Matches
Willian,br BRA,FW,34-184,12.6,477,458,18,2,3,9,26,2,14,3,4,0,377,1,11,Matches
Tosin Adarabioyo,eng ENG,DF,25-138,12.2,592,562,26,21,0,6,1,4,0,0,0,0,474,4,7,Matches
Issa Diop,fr FRA,DF,26-031,11.7,748,725,22,20,0,8,1,0,0,0,0,0,643,1,4,Matches
Neeskens Kebano,cd COD,FW,30-336,7.9,188,186,2,0,0,1,20,0,2,0,0,0,139,0,15,Matches
Carlos Vinícius,br BRA,FW,27-321,4.8,75,72,2,0,1,0,3,0,0,0,0,0,42,1,7,Matches
Daniel James,wls WAL,FW,25-091,4.0,117,114,3,0,0,0,16,3,0,0,0,0,76,0,10,Matches
Harry Wilson,wls WAL,FW,25-324,3.9,155,146,9,1,0,0,10,4,3,1,0,0,118,0,8,Matches
Marek Rodák,sk SVK,GK,26-058,2.0,61,38,23,8,0,0,0,0,0,0,0,0,29,0,0,Matches
Layvin Kurzawa,fr FRA,DF,30-158,1.5,41,29,12,0,0,0,2,12,0,0,0,0,28,0,2,Matches
Tom Cairney,sct SCO,MF,32-020,5.2,400,385,15,2,2,3,18,4,6,2,2,0,342,0,4,Matches
Kevin Mbabu,ch SUI,"DF,FW",27-296,1.6,94,71,23,0,0,1,7,23,0,0,0,0,68,0,2,Matches
Jay Stansfield,eng ENG,FW,20-077,1.0,23,23,0,0,0,0,3,0,0,0,0,0,9,0,3,Matches
Nathaniel Chalobah,eng ENG,MF,28-059,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Manor Solomon,il ISR,FW,23-200,0.7,16,15,1,0,0,0,0,1,0,0,0,0,12,0,0,Matches
Josh Onomah,eng ENG,MF,25-288,0.2,6,6,0,0,0,0,0,0,0,0,0,0,4,0,1,Matches
Luke Harris,wls WAL,"MF,FW",17-312,0.1,14,14,0,0,0,0,1,0,0,0,0,0,13,0,0,Matches
Shane Duffy,ie IRL,"FW,DF",31-039,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Tyrese Francois,au AUS,FW,22-208,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Squad Total,,,28.9,22.0,10040,8945,1061,257,11,97,439,484,106,40,42,0,7656,34,241,
Opponent Total,,,27.3,22.0,11471,10409,1008,246,45,87,352,445,122,54,37,1,9104,54,224,
