Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
6,Brighton,10,5,2,3,17,10,7,17,1.7,16.9,12.4,4.5,0.45,10,5,2,3,21,17,4,17,1.7,14.5,12.7,1.7,0.17
7,Brentford,11,6,4,1,23,10,13,22,2.0,17.9,12.8,5.1,0.46,10,2,5,3,12,18,-6,11,1.1,11.6,13.5,-1.9,-0.19
8,Fulham,11,5,3,3,18,16,2,18,1.64,15.7,17.2,-1.5,-0.14,11,4,2,5,14,14,0,14,1.27,13.4,19.6,-6.2,-0.56
9,Chelsea,10,5,3,2,13,7,6,18,1.8,12.5,12.5,0.0,0.0,11,3,3,5,9,14,-5,12,1.09,12.6,14.5,-1.8,-0.17
10,Liverpool,10,6,3,1,23,9,14,21,2.1,19.3,11.6,7.7,0.77,10,2,2,6,11,19,-8,8,0.8,16.1,17.6,-1.5,-0.15
