Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Tim Ream,us USA,DF,35-127,22.0,1,3,2,66.7,0.14,0.09,0.33,0.5,9.8,0,0,0,0.3,0.3,0.09,0.7,0.7,Matches
Andreas Pereira,br BRA,MF,27-039,20.2,2,28,11,39.3,1.39,0.55,0.04,0.09,21.9,8,1,1,3.5,2.7,0.1,-1.5,-1.7,Matches
João Palhinha,pt POR,MF,27-215,20.7,3,27,7,25.9,1.3,0.34,0.11,0.43,16.7,0,0,0,2.0,2.0,0.07,1.0,1.0,Matches
Bobby Reid,jm JAM,"FW,DF",30-007,19.3,4,23,9,39.1,1.19,0.47,0.17,0.44,12.8,0,0,0,3.4,3.4,0.15,0.6,0.6,Matches
Harrison Reed,eng ENG,MF,28-013,19.2,2,15,4,26.7,0.78,0.21,0.13,0.5,20.3,0,0,0,1.3,1.3,0.09,0.7,0.7,Matches
Bernd Leno,de GER,GK,30-342,20.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Antonee Robinson,us USA,DF,25-185,18.3,0,1,0,0.0,0.05,0.0,0.0,,27.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Aleksandar Mitrović,rs SRB,FW,28-146,17.2,11,69,23,33.3,4.01,1.34,0.12,0.35,15.6,0,3,6,11.3,6.6,0.1,-0.3,1.4,Matches
Kenny Tete,nl NED,DF,27-123,14.7,0,6,3,50.0,0.41,0.2,0.0,0.0,19.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Willian,br BRA,FW,34-184,12.6,2,21,10,47.6,1.67,0.79,0.1,0.2,16.1,0,0,0,2.3,2.3,0.11,-0.3,-0.3,Matches
Tosin Adarabioyo,eng ENG,DF,25-138,12.2,1,4,2,50.0,0.33,0.16,0.25,0.5,16.4,0,0,0,0.2,0.2,0.04,0.8,0.8,Matches
Issa Diop,fr FRA,DF,26-031,11.7,1,3,2,66.7,0.26,0.17,0.33,0.5,12.3,0,0,0,0.3,0.3,0.09,0.7,0.7,Matches
Neeskens Kebano,cd COD,FW,30-336,7.9,0,9,2,22.2,1.14,0.25,0.0,0.0,15.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Carlos Vinícius,br BRA,FW,27-321,4.8,1,8,4,50.0,1.68,0.84,0.13,0.25,12.0,0,0,0,1.1,1.1,0.13,-0.1,-0.1,Matches
Daniel James,wls WAL,FW,25-091,4.0,1,10,2,20.0,2.5,0.5,0.1,0.5,13.5,0,0,0,1.3,1.3,0.13,-0.3,-0.3,Matches
Harry Wilson,wls WAL,FW,25-324,3.9,0,8,1,12.5,2.07,0.26,0.0,0.0,15.1,0,0,0,1.1,1.1,0.13,-1.1,-1.1,Matches
Marek Rodák,sk SVK,GK,26-058,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Layvin Kurzawa,fr FRA,DF,30-158,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Tom Cairney,sct SCO,MF,32-020,5.2,0,11,0,0.0,2.1,0.0,0.0,,20.3,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Kevin Mbabu,ch SUI,"DF,FW",27-296,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jay Stansfield,eng ENG,FW,20-077,1.0,0,2,0,0.0,2.07,0.0,0.0,,13.9,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
Nathaniel Chalobah,eng ENG,MF,28-059,0.1,0,1,1,100.0,7.5,7.5,0.0,0.0,10.1,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Manor Solomon,il ISR,FW,23-200,0.7,0,1,1,100.0,1.5,1.5,0.0,0.0,21.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Josh Onomah,eng ENG,MF,25-288,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Luke Harris,wls WAL,"MF,FW",17-312,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Shane Duffy,ie IRL,"FW,DF",31-039,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Tyrese Francois,au AUS,FW,22-208,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.9,22.0,29,250,84,33.6,11.36,3.82,0.1,0.3,16.5,8,4,7,29.1,23.6,0.1,-0.1,1.4,
Opponent Total,,,27.3,22.0,30,292,112,38.4,13.27,5.09,0.09,0.24,16.1,11,3,3,36.8,35.0,0.12,-6.8,-8.0,
