Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Giorgi Mamardashvili,ge GEO,GK,22-189,27,27,2430,27.0,32,1.19,109,79,72.5,7,6,14,5,18.5,5,2,0,3,0.0,Matches
Squad Total,,,24.9,27,27,2430,27.0,32,1.19,109,79,72.5,7,6,14,5,18.5,5,2,0,3,0.0,
Opponent Total,,,28.2,27,27,2430,27.0,29,1.07,105,75,77.1,14,6,7,10,37.0,8,5,2,1,28.6,
