Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Jaume Doménech,es ESP,GK,32-152,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mario Dominguez,es ESP,MF,19-055,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Javier Guerra,es ESP,MF,20-095,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Iago Herrerín,es ESP,GK,35-071,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Koba Koindredi,fr FRA,MF,21-161,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ruben Lendinez,es ESP,DF,20-023,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alberto Marí,es ESP,FW,21-269,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Charlie Perez,es ESP,GK,20-303,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Uroš Račić,rs SRB,MF,25-020,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tiago Ribeiro,pt POR,MF,21-023,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jesús Santiago,es ESP,MF,18-316,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Manu Vallejo,es ESP,"FW,MF",26-051,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,24.9,27,297,2430.0,27.0,28.0,15.0,43.0,23.0,5.0,8.0,71.0,5.0,35.5,29.2,22.4,51.5,527.0,1044.0,1033.0,1.04,0.56,1.59,0.85,1.41,1.31,0.83,2.14,1.08,1.91,
Opponent Total,,,28.2,27,297,2430.0,27.0,30.0,25.0,55.0,28.0,2.0,5.0,90.0,9.0,33.8,30.0,25.7,55.6,325.0,832.0,820.0,1.11,0.93,2.04,1.04,1.96,1.25,0.95,2.2,1.11,2.06,
