Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Alex Meret,it ITA,GK,26-012,26,26,2340,26.0,16,0.62,64,47,76.6,22,2,2,13,50.0,2,1,1,0,50.0,Matches
Pierluigi Gollini,it ITA,GK,28-016,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
Squad Total,,,27.2,27,27,2430,27.0,16,0.59,67,50,77.6,23,2,2,14,51.9,2,1,1,0,50.0,
Opponent Total,,,27.0,27,27,2430,27.0,64,2.37,160,96,63.8,2,2,23,3,11.1,7,6,1,0,14.3,
