Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Ezri Konsa,eng ENG,DF,25-165,27.9,35,13,21,12,2,16,21,76.2,5,32,17,15,19,54,99,3,Matches
Emiliano Martínez,ar ARG,GK,30-216,26.4,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,13,1,Matches
Ollie Watkins,eng ENG,FW,27-097,25.8,14,9,2,9,3,6,19,31.6,13,18,2,16,8,22,28,0,Matches
Tyrone Mings,eng ENG,DF,30-024,26.0,10,3,6,4,0,5,14,35.7,9,31,18,13,39,49,115,2,Matches
Douglas Luiz,br BRA,MF,24-332,23.6,51,28,23,19,9,20,43,46.5,23,30,5,25,33,84,15,1,Matches
Jacob Ramsey,eng ENG,"MF,FW",21-313,20.5,57,36,21,27,9,28,51,54.9,23,39,7,32,19,76,24,0,Matches
Leon Bailey,jm JAM,"FW,MF",25-240,19.0,11,5,4,6,1,3,15,20.0,12,12,0,12,5,16,10,0,Matches
John McGinn,sct SCO,MF,28-170,20.9,51,29,22,25,4,27,50,54.0,23,34,4,30,18,69,12,0,Matches
Emi Buendía,ar ARG,"MF,FW",26-102,20.0,46,20,18,18,10,17,53,32.1,36,13,0,13,18,64,13,0,Matches
Boubacar Kamara,fr FRA,MF,23-134,17.4,49,23,21,20,8,24,50,48.0,26,35,11,24,17,66,24,2,Matches
Matty Cash,pl POL,DF,25-242,18.2,48,28,33,11,4,22,32,68.8,10,18,4,14,24,72,40,0,Matches
Ashley Young,eng ENG,DF,37-271,16.1,39,20,28,10,1,27,35,77.1,8,21,9,12,17,56,49,0,Matches
Lucas Digne,fr FRA,DF,29-260,14.4,26,10,18,8,0,17,27,63.0,10,14,5,9,15,41,37,0,Matches
Danny Ings,eng ENG,FW,30-257,9.2,10,5,1,6,3,1,6,16.7,5,12,1,11,1,11,11,0,Matches
Philippe Coutinho,br BRA,"MF,FW",30-298,8.8,19,14,8,8,3,9,15,60.0,6,11,1,10,4,23,2,0,Matches
Álex Moreno,es ESP,DF,29-302,8.3,12,8,10,1,1,8,21,38.1,13,13,3,10,4,16,18,2,Matches
Leander Dendoncker,be BEL,MF,27-356,4.1,11,4,8,2,1,7,13,53.8,6,11,3,8,6,17,6,0,Matches
Calum Chambers,eng ENG,"DF,MF",28-076,3.2,8,6,6,2,0,6,8,75.0,2,5,4,1,7,15,5,1,Matches
Robin Olsen,se SWE,GK,33-088,2.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
Diego Carlos,br BRA,DF,30-022,2.0,1,0,0,1,0,0,1,0.0,1,2,2,0,1,2,2,0,Matches
Jan Bednarek,pl POL,DF,26-359,1.1,3,3,0,3,0,1,1,100.0,0,3,1,2,2,5,5,0,Matches
Ludwig Augustinsson,se SWE,DF,28-350,0.9,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
Jhon Durán,co COL,FW,19-114,0.9,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,Matches
Bertrand Traoré,bf BFA,"FW,MF",27-212,0.7,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches
Cameron Archer,eng ENG,"FW,MF",21-259,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Morgan Sanson,fr FRA,MF,28-231,0.1,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches
Squad Total,,,27.7,29.0,504,266,252,193,59,245,480,51.0,235,356,97,259,259,763,531,12,
Opponent Total,,,27.1,29.0,504,294,246,176,82,207,422,49.1,215,323,102,221,259,763,489,8,
