Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Fernando,es ESP,GK,32-297,24.5,41,3,1,2,1,43.7,0.3,3.7,0.15,121,354,34.2,688,146,36.6,36.1,217,47.0,40.5,380,24,6.3,18,0.73,13.3,Matches
Fernando Pacheco,es ESP,GK,30-320,1.0,2,0,0,1,0,1.6,0.32,-0.4,-0.42,3,12,25.0,26,8,42.3,40.2,4,25.0,36.0,16,1,6.3,2,2.0,14.5,Matches
Diego Mariño,es ESP,GK,32-329,0.5,2,0,0,0,0,1.4,0.28,-0.6,-1.25,2,3,66.7,3,1,33.3,35.7,5,40.0,45.6,12,0,0.0,0,0.0,7.0,Matches
Squad Total,,,27.1,26.0,45,3,1,3,1,46.6,0.3,2.6,0.1,126,369,34.1,717,155,36.8,36.2,226,46.5,40.5,408,25,6.1,20,0.77,13.3,
Opponent Total,,,28.7,26.0,30,1,1,7,0,29.0,0.27,-1.0,-0.04,117,331,35.3,651,125,34.9,34.6,181,57.5,46.4,321,28,8.7,40,1.54,16.8,
