Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Alisson,br BRA,GK,30-167,26.0,0,0,0,0,0,0,2,0.0,2,3,0,3,0,0,13,0,Matches
Mohamed Salah,eg EGY,FW,30-276,25.7,13,9,3,3,7,7,15,46.7,8,16,0,16,4,17,3,0,Matches
Trent Alexander-Arnold,eng ENG,DF,24-162,21.5,40,29,25,11,4,28,47,59.6,19,19,5,14,30,70,25,2,Matches
Virgil van Dijk,nl NED,DF,31-253,21.5,17,9,9,7,1,6,12,50.0,6,18,11,7,22,39,87,1,Matches
Andrew Robertson,sct SCO,DF,29-007,19.7,24,16,7,12,5,12,23,52.2,11,18,4,14,16,40,32,1,Matches
Fabinho,br BRA,MF,29-146,18.7,41,23,15,22,4,15,39,38.5,24,23,6,17,25,66,25,0,Matches
Harvey Elliott,eng ENG,"MF,FW",19-348,15.9,21,14,6,9,6,6,29,20.7,23,25,1,24,13,34,7,0,Matches
Darwin Núñez,uy URU,FW,23-267,15.0,8,4,2,3,3,4,14,28.6,10,9,0,9,3,11,11,0,Matches
Jordan Henderson,eng ENG,MF,32-274,14.0,19,13,8,8,3,8,17,47.1,9,12,3,9,13,32,13,0,Matches
Thiago Alcántara,es ESP,MF,31-341,12.8,41,23,18,21,2,13,19,68.4,6,14,3,11,18,59,12,2,Matches
Joe Gomez,eng ENG,DF,25-299,14.3,27,20,14,11,2,11,19,57.9,8,16,11,5,21,48,45,2,Matches
Roberto Firmino,br BRA,"FW,MF",31-167,11.5,15,11,2,10,3,2,15,13.3,13,12,1,11,6,21,2,0,Matches
Joël Matip,cm CMR,DF,31-222,9.1,12,6,10,2,0,9,15,60.0,6,6,2,4,11,23,38,3,Matches
Cody Gakpo,nl NED,FW,23-315,7.3,9,6,1,6,2,4,16,25.0,12,6,1,5,2,11,1,0,Matches
Ibrahima Konaté,fr FRA,DF,23-297,7.2,16,9,11,5,0,7,15,46.7,8,4,2,2,11,27,32,2,Matches
Luis Díaz,co COL,FW,26-064,6.8,10,8,2,7,1,3,7,42.9,4,6,0,6,2,12,0,0,Matches
James Milner,eng ENG,"DF,MF",37-073,8.0,19,10,8,8,3,12,29,41.4,17,12,2,10,12,31,13,0,Matches
Kostas Tsimikas,gr GRE,DF,26-310,6.0,11,6,9,2,0,8,11,72.7,3,7,1,6,7,18,12,0,Matches
Stefan Bajcetic,es ESP,MF,18-147,5.8,9,6,5,3,1,8,27,29.6,19,7,0,7,9,18,4,0,Matches
Diogo Jota,pt POR,"FW,MF",26-104,5.0,14,9,7,4,3,7,19,36.8,12,2,0,2,2,16,2,0,Matches
Fabio Carvalho,pt POR,"MF,FW",20-200,3.8,8,8,3,3,2,3,6,50.0,3,6,0,6,5,13,0,0,Matches
Alex Oxlade-Chamberlain,eng ENG,"FW,MF",29-215,3.5,5,4,1,2,2,1,4,25.0,3,4,1,3,1,6,4,0,Matches
Naby Keïta,gn GUI,MF,28-036,3.3,5,4,2,3,0,1,4,25.0,3,1,0,1,2,7,3,0,Matches
Curtis Jones,eng ENG,"MF,FW",22-047,2.2,4,2,1,1,2,2,4,50.0,2,1,0,1,1,5,2,0,Matches
Nathaniel Phillips,eng ENG,DF,25-362,0.7,2,1,0,2,0,2,2,100.0,0,0,0,0,2,4,1,0,Matches
Ben Doak,sct SCO,FW,17-127,0.3,3,2,1,2,0,1,1,100.0,0,1,0,1,0,3,0,0,Matches
Bobby Clark,eng ENG,MF,18-039,0.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches
Squad Total,,,28.1,26.0,393,252,170,167,56,180,411,43.8,231,250,54,196,238,631,387,13,
Opponent Total,,,27.3,26.0,465,257,243,176,46,185,386,47.9,201,347,107,240,270,735,712,16,
