Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Alisson,br BRA,GK,30-167,26,26,2340,26.0,29,1.12,105,77,74.3,12,6,8,10,38.5,3,2,1,0,33.3,Matches
Squad Total,,,28.1,26,26,2340,26.0,29,1.12,105,77,74.3,12,6,8,10,38.5,3,2,1,0,33.3,
Opponent Total,,,27.3,26,26,2338,26.0,47,1.81,149,106,68.5,8,6,12,7,26.9,1,0,0,1,,
