Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Gabriel Dos Santos,br BRA,DF,25-052,20.0,1461,165,593,783,92,32,1461,1,0,0.0,0,0.0,890,4543,2823,10,16,1,10,3,1000,6,Matches
Aaron Ramsdale,eng ENG,GK,24-271,20.0,619,447,608,11,0,0,619,1,1,100.0,0,0.0,377,2127,1334,0,1,0,0,0,315,0,Matches
William Saliba,fr FRA,DF,21-322,19.8,1444,132,647,773,29,10,1444,8,6,75.0,1,12.5,932,4653,2661,5,4,1,12,5,989,1,Matches
Bukayo Saka,eng ENG,FW,21-157,19.0,976,9,81,260,647,109,975,78,27,34.6,38,48.7,627,4771,2476,98,52,46,43,28,706,265,Matches
Granit Xhaka,ch SUI,MF,30-135,19.0,1114,52,185,531,403,67,1114,12,6,50.0,5,41.7,646,2410,1195,22,25,5,18,18,817,105,Matches
Martinelli,br BRA,FW,21-236,18.5,911,9,80,261,585,134,911,81,33,40.7,36,44.4,601,4519,2009,78,36,44,54,40,671,213,Matches
Ben White,eng ENG,DF,25-124,17.7,1321,47,291,713,324,18,1321,16,5,31.3,9,56.3,731,3422,1923,37,29,0,18,5,877,46,Matches
Martin Ødegaard,no NOR,MF,24-054,17.7,996,14,99,423,486,71,996,39,22,56.4,14,35.9,574,3167,1458,48,30,16,22,26,711,82,Matches
Thomas Partey,gh GHA,MF,29-241,16.1,1309,45,248,839,230,13,1309,20,13,65.0,5,25.0,766,3455,1801,14,16,1,19,11,948,15,Matches
Gabriel Jesus,br BRA,FW,25-312,13.5,637,16,53,242,345,123,637,66,27,40.9,31,47.0,370,2068,894,30,15,18,54,40,485,122,Matches
Oleksandr Zinchenko,ua UKR,DF,26-056,11.0,945,27,182,510,261,15,945,5,4,80.0,1,20.0,548,3148,1594,27,20,3,11,11,617,30,Matches
Eddie Nketiah,eng ENG,FW,23-255,7.7,273,8,24,103,150,52,273,25,10,40.0,10,40.0,180,1204,460,23,10,11,21,11,205,52,Matches
Takehiro Tomiyasu,jp JPN,DF,24-096,5.7,412,23,102,228,86,7,412,3,1,33.3,2,66.7,211,1018,465,7,6,0,5,3,237,13,Matches
Kieran Tierney,sct SCO,DF,25-249,5.2,358,14,79,163,117,6,358,2,0,0.0,1,50.0,195,1139,541,15,11,0,5,0,210,21,Matches
Albert Sambi Lokonga,be BEL,MF,23-110,2.2,154,6,32,95,29,0,154,2,1,50.0,0,0.0,96,393,145,0,6,0,1,1,113,2,Matches
Fabio Vieira,pt POR,"MF,FW",22-255,2.9,170,3,16,84,72,8,170,10,3,30.0,6,60.0,100,421,134,2,3,0,9,5,117,16,Matches
Mohamed Elneny,eg EGY,MF,30-213,1.3,63,2,11,42,11,0,63,0,0,,0,,38,134,37,1,0,0,0,0,49,1,Matches
Reiss Nelson,eng ENG,FW,23-061,0.7,47,0,5,7,36,8,47,1,1,100.0,0,0.0,26,197,125,8,2,4,0,4,39,12,Matches
Emile Smith Rowe,eng ENG,"MF,FW",22-196,0.6,29,1,8,7,14,1,29,3,2,66.7,1,33.3,11,49,9,0,0,0,0,1,14,3,Matches
Leandro Trossard,be BEL,FW,28-067,0.5,24,0,2,4,19,5,24,3,2,66.7,1,33.3,16,188,126,5,0,2,0,1,16,9,Matches
Jorginho,it ITA,MF,31-051,0.4,32,0,8,18,7,2,32,1,1,100.0,0,0.0,15,70,54,0,0,0,0,0,27,0,Matches
Cédric Soares,pt POR,DF,31-162,0.3,27,2,8,9,10,0,27,0,0,,0,,14,87,67,1,2,0,0,0,20,0,Matches
Rob Holding,eng ENG,DF,27-142,0.2,8,2,6,2,0,0,8,0,0,,0,,2,5,2,0,0,0,0,0,2,0,Matches
Marquinhos,br BRA,MF,19-308,0.0,3,0,0,2,1,0,3,0,0,,0,,2,6,1,0,0,0,0,0,3,0,Matches
Ethan Nwaneri,eng ENG,FW,15-325,0.0,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,24.9,20.0,13334,1024,3368,6110,3955,681,13333,377,165,43.8,161,42.7,7968,43194,22334,431,284,152,302,213,9188,1014,
Opponent Total,,,27.4,20.0,10427,1509,4154,4241,2140,320,10423,258,96,37.2,126,48.8,5865,29880,14578,273,193,66,258,175,6311,480,
