Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Gabriel Dos Santos,br BRA,DF,25-052,20,1800.0,90.0,100.0,20.0,20,90.0,20,0,,0,2.5,45.0,17.0,28.0,1.4,,38.2,18.6,19.6,0.98,,Matches
Aaron Ramsdale,eng ENG,GK,24-271,20,1800.0,90.0,100.0,20.0,20,90.0,20,0,,0,2.5,45.0,17.0,28.0,1.4,,38.2,18.6,19.6,0.98,,Matches
William Saliba,fr FRA,DF,21-322,20,1785.0,89.0,99.2,19.8,20,89.0,19,0,,0,2.5,44.0,17.0,27.0,1.36,-4.64,37.9,18.6,19.3,0.97,-0.71,Matches
Bukayo Saka,eng ENG,FW,21-157,20,1711.0,86.0,95.1,19.0,20,86.0,12,0,,0,2.5,41.0,17.0,24.0,1.26,-2.78,36.0,17.8,18.1,0.95,-0.48,Matches
Granit Xhaka,ch SUI,MF,30-135,20,1706.0,85.0,94.8,19.0,20,85.0,17,0,,0,2.5,42.0,17.0,25.0,1.32,-1.55,35.8,17.9,17.9,0.94,-0.68,Matches
Martinelli,br BRA,FW,21-236,20,1665.0,83.0,92.5,18.5,20,83.0,11,0,,0,2.5,43.0,16.0,27.0,1.46,0.79,35.9,17.6,18.4,0.99,0.18,Matches
Ben White,eng ENG,DF,25-124,20,1593.0,80.0,88.5,17.7,20,80.0,8,0,,0,2.5,40.0,13.0,27.0,1.53,1.09,33.7,16.7,17.0,0.96,-0.14,Matches
Martin Ødegaard,no NOR,MF,24-054,19,1594.0,84.0,88.6,17.7,19,84.0,5,0,,0,2.47,42.0,16.0,26.0,1.47,0.59,35.8,17.2,18.6,1.05,0.62,Matches
Thomas Partey,gh GHA,MF,29-241,17,1449.0,85.0,80.5,16.1,17,85.0,12,0,,0,2.59,40.0,10.0,30.0,1.86,2.38,31.3,15.0,16.2,1.01,0.16,Matches
Gabriel Jesus,br BRA,FW,25-312,14,1219.0,87.0,67.7,13.5,14,87.0,7,0,,0,2.64,32.0,11.0,21.0,1.55,0.47,25.3,11.4,14.0,1.03,0.17,Matches
Oleksandr Zinchenko,ua UKR,DF,26-056,13,991.0,76.0,55.1,11.0,12,81.0,4,1,18.0,0,2.38,23.0,8.0,15.0,1.36,-0.08,22.0,10.4,11.6,1.05,0.16,Matches
Eddie Nketiah,eng ENG,FW,23-255,18,691.0,38.0,38.4,7.7,6,90.0,5,12,13.0,2,2.44,16.0,7.0,9.0,1.17,-0.37,15.3,8.1,7.3,0.95,-0.04,Matches
Takehiro Tomiyasu,jp JPN,DF,24-096,16,512.0,32.0,28.4,5.7,4,83.0,3,12,15.0,0,2.38,14.0,7.0,7.0,1.23,-0.24,10.3,6.0,4.4,0.77,-0.29,Matches
Kieran Tierney,sct SCO,DF,25-249,15,469.0,31.0,26.1,5.2,4,78.0,2,11,14.0,5,2.87,11.0,5.0,6.0,1.15,-0.34,8.6,4.2,4.4,0.85,-0.18,Matches
Albert Sambi Lokonga,be BEL,MF,23-110,6,198.0,33.0,11.0,2.2,2,82.0,1,4,9.0,12,2.5,3.0,3.0,0.0,0.0,-1.57,4.0,1.7,2.2,1.01,0.04,Matches
Fabio Vieira,pt POR,"MF,FW",22-255,11,264.0,24.0,14.7,2.9,1,89.0,0,10,18.0,7,2.27,6.0,1.0,5.0,1.7,0.36,4.7,1.9,2.8,0.94,-0.04,Matches
Mohamed Elneny,eg EGY,MF,30-213,5,113.0,23.0,6.3,1.3,1,90.0,1,4,6.0,4,3.0,2.0,2.0,0.0,0.0,-1.49,2.6,1.3,1.4,1.09,0.12,Matches
Reiss Nelson,eng ENG,FW,23-061,2,65.0,33.0,3.6,0.7,0,,0,2,33.0,6,3.0,4.0,0.0,4.0,5.54,4.29,1.6,0.4,1.2,1.65,0.7,Matches
Emile Smith Rowe,eng ENG,"MF,FW",22-196,5,52.0,10.0,2.9,0.6,0,,0,5,10.0,2,2.4,0.0,1.0,-1.0,-1.73,-3.22,0.8,0.6,0.2,0.26,-0.74,Matches
Leandro Trossard,be BEL,FW,28-067,2,41.0,21.0,2.3,0.5,0,,0,2,21.0,0,1.5,1.0,1.0,0.0,0.0,-1.43,1.4,0.4,1.0,2.17,1.22,Matches
Jorginho,it ITA,MF,31-051,1,32.0,32.0,1.8,0.4,0,,0,1,32.0,0,0.0,0.0,1.0,-1.0,-2.81,-4.29,0.3,0.3,-0.1,-0.21,-1.21,Matches
Cédric Soares,pt POR,DF,31-162,2,29.0,15.0,1.6,0.3,0,,0,2,15.0,10,3.0,1.0,0.0,1.0,3.1,1.73,0.5,0.0,0.4,1.27,0.3,Matches
Rob Holding,eng ENG,DF,27-142,6,19.0,3.0,1.1,0.2,0,,0,6,3.0,14,3.0,0.0,0.0,0.0,0.0,-1.41,0.1,0.3,-0.1,-0.6,-1.59,Matches
Marquinhos,br BRA,MF,19-308,1,1.0,1.0,0.1,0.0,0,,0,1,1.0,14,3.0,0.0,0.0,0.0,0.0,-1.4,0.0,0.0,0.0,0.0,-0.98,Matches
Ethan Nwaneri,eng ENG,FW,15-325,1,1.0,1.0,0.1,0.0,0,,0,1,1.0,0,3.0,0.0,0.0,0.0,0.0,-1.4,0.0,0.0,0.0,0.0,-0.98,Matches
Nathan Butler-Oyedeji,eng ENG,FW,20-036,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Amario Duberry,eng ENG,FW,17-256,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Karl Jakob Hein,ee EST,GK,20-302,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Jakub Kiwior,pl POL,"DF,MF",22-359,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Nicolas Pépé,ci CIV,"FW,MF",27-256,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Matthew Smith,eng ENG,MF,22-127,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Lino Sousa,eng ENG,DF,18-021,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Matt Turner,us USA,GK,28-230,0,,,,,0,,0,0,,19,,,,,,,,,,,,Matches
Squad Total,,,24.9,20,1800.0,90.0,100.0,20.0,220,86.0,147,74,13.0,106,2.5,45.0,17.0,28.0,1.4,,38.2,18.6,19.6,0.98,,
Opponent Total,,,27.4,20,1800.0,90.0,100.0,20.0,220,86.0,147,74,13.0,108,0.4,17.0,45.0,-28.0,-1.4,,18.6,38.2,-19.6,-0.98,,
