Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Aaron Ramsdale,eng ENG,GK,24-271,20,20,1800,20.0,17,0.85,62,46,75.8,16,2,2,9,45.0,3,2,0,1,0.0,Matches
Squad Total,,,24.9,20,20,1800,20.0,17,0.85,62,46,75.8,16,2,2,9,45.0,3,2,0,1,0.0,
Opponent Total,,,27.4,20,20,1800,20.0,45,2.25,106,63,58.5,2,2,16,2,10.0,1,1,0,0,0.0,
