Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Aaron Ramsdale,eng ENG,GK,24-271,20.0,17,2,0,3,1,18.3,0.27,2.3,0.12,66,242,27.3,495,100,38.6,34.9,78,65.4,52.7,226,15,6.6,22,1.1,14.9,Matches
Squad Total,,,24.9,20.0,17,2,0,3,1,18.3,0.27,2.3,0.12,66,242,27.3,495,100,38.6,34.9,78,65.4,52.7,226,15,6.6,22,1.1,14.9,
Opponent Total,,,27.4,20.0,45,1,0,7,2,35.8,0.34,-7.2,-0.36,100,271,36.9,491,82,35.8,33.3,162,58.6,45.0,258,18,7.0,18,0.9,12.1,
