Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Gabriel Dos Santos,br BRA,DF,25-052,20.0,4,0,0,13,24,0,2,17,20,0,1,0,105,43,45,48.9,Matches
Aaron Ramsdale,eng ENG,GK,24-271,20.0,0,0,0,0,3,0,0,0,1,0,0,0,12,3,0,100.0,Matches
William Saliba,fr FRA,DF,21-322,19.8,4,0,0,14,8,0,1,15,14,0,2,1,164,36,21,63.2,Matches
Bukayo Saka,eng ENG,FW,21-157,19.0,4,0,0,22,32,4,85,11,14,0,0,0,72,5,21,19.2,Matches
Granit Xhaka,ch SUI,MF,30-135,19.0,3,0,0,15,21,2,22,9,12,0,0,0,87,19,14,57.6,Matches
Martinelli,br BRA,FW,21-236,18.5,2,0,0,25,25,5,86,7,10,0,0,0,66,9,30,23.1,Matches
Ben White,eng ENG,DF,25-124,17.7,4,0,0,12,15,0,26,12,23,0,0,0,76,17,20,45.9,Matches
Martin Ødegaard,no NOR,MF,24-054,17.7,3,0,0,18,15,1,40,3,13,0,0,0,92,8,13,38.1,Matches
Thomas Partey,gh GHA,MF,29-241,16.1,2,0,0,19,10,0,2,19,22,0,0,0,127,20,12,62.5,Matches
Gabriel Jesus,br BRA,FW,25-312,13.5,4,0,0,24,38,8,7,8,16,1,0,0,42,24,46,34.3,Matches
Oleksandr Zinchenko,ua UKR,DF,26-056,11.0,2,0,0,2,7,0,18,9,8,0,0,0,76,19,6,76.0,Matches
Eddie Nketiah,eng ENG,FW,23-255,7.7,1,0,0,20,16,6,0,1,8,0,0,0,18,7,23,23.3,Matches
Takehiro Tomiyasu,jp JPN,DF,24-096,5.7,1,0,0,6,3,0,7,13,14,0,0,0,35,7,16,30.4,Matches
Kieran Tierney,sct SCO,DF,25-249,5.2,0,0,0,4,4,0,11,9,4,0,0,0,26,2,10,16.7,Matches
Albert Sambi Lokonga,be BEL,MF,23-110,2.2,0,0,0,1,5,0,0,5,1,0,0,0,14,3,2,60.0,Matches
Fabio Vieira,pt POR,"MF,FW",22-255,2.9,0,0,0,3,1,0,8,3,2,0,0,0,19,1,1,50.0,Matches
Mohamed Elneny,eg EGY,MF,30-213,1.3,0,0,0,1,1,0,0,0,1,0,0,0,10,0,2,0.0,Matches
Reiss Nelson,eng ENG,FW,23-061,0.7,0,0,0,2,2,0,1,0,0,0,0,0,5,0,1,0.0,Matches
Emile Smith Rowe,eng ENG,"MF,FW",22-196,0.6,0,0,0,1,0,0,2,0,1,0,0,0,3,0,2,0.0,Matches
Leandro Trossard,be BEL,FW,28-067,0.5,0,0,0,1,0,0,5,0,2,0,0,0,2,0,0,,Matches
Jorginho,it ITA,MF,31-051,0.4,0,0,0,0,1,0,0,0,1,0,0,0,3,1,1,50.0,Matches
Cédric Soares,pt POR,DF,31-162,0.3,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0.0,Matches
Rob Holding,eng ENG,DF,27-142,0.2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,100.0,Matches
Marquinhos,br BRA,MF,19-308,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Ethan Nwaneri,eng ENG,FW,15-325,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,24.9,20.0,34,0,0,204,231,26,326,141,188,1,3,1,1056,225,287,43.9,
Opponent Total,,,27.4,20.0,47,1,0,238,191,55,304,175,203,2,1,2,966,287,225,56.1,
