Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Gabriel Dos Santos,br BRA,DF,25-052,20.0,1255,1202,52,36,0,8,2,2,0,0,0,0,1123,1,8,Matches
Aaron Ramsdale,eng ENG,GK,24-271,20.0,575,450,123,45,0,5,0,0,0,0,0,0,382,2,2,Matches
William Saliba,fr FRA,DF,21-322,19.8,1296,1268,28,24,0,0,1,0,0,0,0,0,1188,0,8,Matches
Bukayo Saka,eng ENG,FW,21-157,19.0,744,678,65,8,0,3,85,10,47,40,0,1,572,1,25,Matches
Granit Xhaka,ch SUI,MF,30-135,19.0,957,917,38,28,4,2,22,10,0,0,0,0,811,2,12,Matches
Martinelli,br BRA,FW,21-236,18.5,664,591,68,9,4,2,86,9,50,35,0,0,481,5,28,Matches
Ben White,eng ENG,DF,25-124,17.7,1146,997,146,30,3,8,26,116,0,0,0,0,962,3,14,Matches
Martin Ødegaard,no NOR,MF,24-054,17.7,847,780,64,48,13,4,40,6,10,4,4,0,670,3,22,Matches
Thomas Partey,gh GHA,MF,29-241,16.1,1133,1098,32,16,4,8,2,16,0,0,0,0,974,3,10,Matches
Gabriel Jesus,br BRA,FW,25-312,13.5,402,369,32,1,1,3,7,7,0,0,0,0,325,1,11,Matches
Oleksandr Zinchenko,ua UKR,DF,26-056,11.0,842,761,80,19,0,5,18,61,0,0,0,0,736,1,11,Matches
Eddie Nketiah,eng ENG,FW,23-255,7.7,166,153,13,0,0,1,0,0,0,0,0,0,138,0,4,Matches
Takehiro Tomiyasu,jp JPN,DF,24-096,5.7,343,292,50,4,1,2,7,46,0,0,0,0,286,1,6,Matches
Kieran Tierney,sct SCO,DF,25-249,5.2,302,261,38,3,1,1,11,35,0,0,0,0,223,3,5,Matches
Albert Sambi Lokonga,be BEL,MF,23-110,2.2,140,135,5,5,1,1,0,0,0,0,0,0,132,0,1,Matches
Fabio Vieira,pt POR,"MF,FW",22-255,2.9,132,126,6,4,0,0,8,1,1,1,0,0,104,0,3,Matches
Mohamed Elneny,eg EGY,MF,30-213,1.3,60,58,2,2,0,0,0,0,0,0,0,0,57,0,1,Matches
Reiss Nelson,eng ENG,FW,23-061,0.7,39,39,0,0,0,0,1,0,0,0,0,0,35,0,0,Matches
Emile Smith Rowe,eng ENG,"MF,FW",22-196,0.6,22,20,2,0,0,0,2,0,2,2,0,0,19,0,1,Matches
Leandro Trossard,be BEL,FW,28-067,0.5,18,14,4,0,0,0,5,1,3,3,0,0,11,0,2,Matches
Jorginho,it ITA,MF,31-051,0.4,30,30,0,0,0,0,0,0,0,0,0,0,24,0,1,Matches
Cédric Soares,pt POR,DF,31-162,0.3,24,23,1,0,0,0,3,1,0,0,0,0,19,0,0,Matches
Rob Holding,eng ENG,DF,27-142,0.2,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Marquinhos,br BRA,MF,19-308,0.0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Ethan Nwaneri,eng ENG,FW,15-325,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,24.9,20.0,11146,10271,849,282,32,53,326,321,113,85,4,1,9279,26,175,
Opponent Total,,,27.4,20.0,8326,7355,916,218,28,63,304,380,83,53,22,3,6361,55,168,
