Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Gabriel Dos Santos,br BRA,DF,25-052,20,20,1800.0,20.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.9,2.9,0.2,3.1,10.0,80.0,6.0,0.1,0.0,0.1,0.1,0.1,0.15,0.01,0.15,0.15,0.15,Matches
Aaron Ramsdale,eng ENG,GK,24-271,20,20,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
William Saliba,fr FRA,DF,21-322,20,20,1785.0,19.8,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.9,0.9,0.9,1.8,5.0,62.0,1.0,0.1,0.05,0.15,0.1,0.15,0.05,0.04,0.09,0.05,0.09,Matches
Bukayo Saka,eng ENG,FW,21-157,20,20,1711.0,19.0,7.0,7.0,14.0,6.0,1.0,1.0,4.0,0.0,6.1,5.5,4.6,10.0,98.0,48.0,265.0,0.37,0.37,0.74,0.32,0.68,0.32,0.24,0.56,0.29,0.53,Matches
Granit Xhaka,ch SUI,MF,30-135,20,20,1706.0,19.0,3.0,5.0,8.0,3.0,0.0,0.0,3.0,0.0,2.1,2.1,3.8,5.8,22.0,124.0,105.0,0.16,0.26,0.42,0.16,0.42,0.11,0.2,0.31,0.11,0.31,Matches
Martinelli,br BRA,FW,21-236,20,20,1665.0,18.5,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,4.3,4.3,5.0,9.3,78.0,64.0,213.0,0.38,0.11,0.49,0.38,0.49,0.23,0.27,0.5,0.23,0.5,Matches
Ben White,eng ENG,DF,25-124,20,20,1593.0,17.7,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,1.1,1.4,37.0,139.0,46.0,0.0,0.11,0.11,0.0,0.11,0.02,0.06,0.08,0.02,0.08,Matches
Martin Ødegaard,no NOR,MF,24-054,19,19,1594.0,17.7,8.0,5.0,13.0,8.0,0.0,0.0,3.0,0.0,5.6,5.6,5.0,10.6,48.0,127.0,82.0,0.45,0.28,0.73,0.45,0.73,0.31,0.28,0.6,0.31,0.6,Matches
Thomas Partey,gh GHA,MF,29-241,17,17,1449.0,16.1,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.6,1.6,0.8,2.4,14.0,121.0,15.0,0.12,0.0,0.12,0.12,0.12,0.1,0.05,0.15,0.1,0.15,Matches
Gabriel Jesus,br BRA,FW,25-312,14,14,1219.0,13.5,5.0,5.0,10.0,5.0,0.0,0.0,4.0,0.0,7.7,7.7,2.8,10.6,30.0,38.0,122.0,0.37,0.37,0.74,0.37,0.74,0.57,0.21,0.78,0.57,0.78,Matches
Oleksandr Zinchenko,ua UKR,DF,26-056,13,12,991.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.6,1.4,27.0,108.0,30.0,0.0,0.09,0.09,0.0,0.09,0.07,0.05,0.12,0.07,0.12,Matches
Eddie Nketiah,eng ENG,FW,23-255,18,6,691.0,7.7,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,5.6,5.6,0.3,5.8,23.0,9.0,52.0,0.52,0.0,0.52,0.52,0.52,0.72,0.03,0.76,0.72,0.76,Matches
Takehiro Tomiyasu,jp JPN,DF,24-096,16,4,512.0,5.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.7,7.0,42.0,13.0,0.0,0.18,0.18,0.0,0.18,0.01,0.1,0.12,0.01,0.12,Matches
Kieran Tierney,sct SCO,DF,25-249,15,4,469.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.4,15.0,25.0,21.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,Matches
Albert Sambi Lokonga,be BEL,MF,23-110,6,2,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
