Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Arsenal,20,16,2,2,45,17,28,50,2.5,38.2,18.6,19.6,0.98,W D W W L,60175,Martin Ødegaard - 8,Aaron Ramsdale,
2,Manchester City,21,14,3,4,53,21,32,45,2.14,42.7,17.0,25.7,1.22,W L W W L,53185,Erling Haaland - 25,Ederson,
3,Manchester Utd,22,13,4,5,36,28,8,43,1.95,33.7,25.4,8.3,0.38,W D L W D,73793,Marcus Rashford - 11,David de Gea,
