Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Gabriel Dos Santos,br BRA,DF,25-052,20.0,1123,1255,89.5,20332,7242,448,470,95.3,585,627,93.3,79,131,60.3,0,0.2,0.3,-0.2,1,95,2,0,80,Matches
Aaron Ramsdale,eng ENG,GK,24-271,20.0,382,575,66.4,10072,7081,98,103,95.1,171,174,98.3,113,295,38.3,0,0.0,0.0,0.0,0,18,2,0,4,Matches
William Saliba,fr FRA,DF,21-322,19.8,1188,1296,91.7,21090,8281,483,512,94.3,613,654,93.7,75,99,75.8,1,0.9,0.2,0.1,4,56,2,0,62,Matches
Bukayo Saka,eng ENG,FW,21-157,19.0,572,744,76.9,8460,1975,351,400,87.8,155,195,79.5,44,84,52.4,7,4.6,3.2,2.4,47,22,35,9,48,Matches
Granit Xhaka,ch SUI,MF,30-135,19.0,811,957,84.7,13083,3481,406,455,89.2,317,362,87.6,65,83,78.3,5,3.8,2.9,1.2,33,92,24,2,124,Matches
Martinelli,br BRA,FW,21-236,18.5,481,664,72.4,7753,1663,251,295,85.1,174,218,79.8,44,93,47.3,2,5.0,4.3,-3.0,37,23,26,3,64,Matches
Ben White,eng ENG,DF,25-124,17.7,962,1146,83.9,16600,5736,435,475,91.6,446,505,88.3,66,122,54.1,2,1.1,1.8,0.9,13,130,20,6,139,Matches
Martin Ødegaard,no NOR,MF,24-054,17.7,670,847,79.1,10254,3134,350,402,87.1,233,292,79.8,52,82,63.4,5,5.0,4.4,0.0,41,61,41,1,127,Matches
Thomas Partey,gh GHA,MF,29-241,16.1,974,1133,86.0,17074,5189,442,490,90.2,403,454,88.8,104,147,70.7,0,0.8,0.8,-0.8,14,126,11,0,121,Matches
