2023-01-08,15:00,Serie A,Matchweek 17,Sun,Away,D,0.0,0.0,Spezia,1.1,0.9,43.0,7300.0,Gabriel Strefezza,4-3-3,Daniele Chiffi,Match Report,
2023-01-14,18:00,Serie A,Matchweek 18,Sat,Home,D,2.0,2.0,Milan,1.4,1.4,35.0,25942.0,Morten Hjulmand,4-3-3,Daniele Orsato,Match Report,
2023-01-21,15:00,Serie A,Matchweek 19,Sat,Away,L,0.0,2.0,Hellas Verona,0.8,0.5,58.0,,Morten Hjulmand,4-3-3,Federico La Penna,Match Report,
2023-01-27,20:45,Serie A,Matchweek 20,Fri,Home,L,1.0,2.0,Salernitana,1.4,0.9,59.0,,Morten Hjulmand,4-3-3,Davide Massa,Match Report,
2023-02-04,15:00,Serie A,Matchweek 21,Sat,Away,W,2.0,0.0,Cremonese,1.5,0.6,42.0,,Morten Hjulmand,4-3-3,Daniele Orsato,Match Report,
2023-02-11,18:00,Serie A,Matchweek 22,Sat,Home,D,1.0,1.0,Roma,0.3,1.7,42.0,,Morten Hjulmand,4-3-3,Gianluca Aureliano,Match Report,
2023-02-19,12:30,Serie A,Matchweek 23,Sun,Away,W,2.0,1.0,Atalanta,0.4,1.5,30.0,,Morten Hjulmand,4-3-3,Marco Piccinini,Match Report,
2023-02-25,20:45,Serie A,Matchweek 24,Sat,Home,L,0.0,1.0,Sassuolo,1.2,1.1,42.0,,Morten Hjulmand,4-3-3,Niccolò Baroni,Match Report,
2023-03-05,18:00,Serie A,Matchweek 25,Sun,Away,L,0.0,2.0,Inter,0.6,0.8,38.0,,Morten Hjulmand,4-3-3,Gianluca Manganiello,Match Report,
2023-03-12,12:30,Serie A,Matchweek 26,Sun,Home,L,0.0,2.0,Torino,0.5,0.1,55.0,,Morten Hjulmand,4-3-3,Juan Sacchi,Match Report,
2023-03-19,15:00,Serie A,Matchweek 27,Sun,Away,L,0.0,1.0,Fiorentina,0.5,1.2,41.0,,Morten Hjulmand,4-3-3,Rosario Abisso,Match Report,
2023-04-03,18:30,Serie A,Matchweek 28,Mon,Away,L,0.0,1.0,Empoli,0.2,1.7,47.0,,Morten Hjulmand,4-3-3,Michael Fabbri,Match Report,
2023-04-07,19:00,Serie A,Matchweek 29,Fri,Home,,,,Napoli,,,,,,,,Head-to-Head,
2023-04-16,12:30,Serie A,Matchweek 30,Sun,Home,,,,Sampdoria,,,,,,,,Head-to-Head,
2023-04-23,18:00,Serie A,Matchweek 31,Sun,Away,,,,Milan,,,,,,,,Head-to-Head,
2023-04-28,18:30,Serie A,Matchweek 32,Fri,Home,,,,Udinese,,,,,,,,Head-to-Head,
2023-05-03,,Serie A,Matchweek 33,Wed,Away,,,,Juventus,,,,,,,,Head-to-Head,
2023-05-07,,Serie A,Matchweek 34,Sun,Home,,,,Hellas Verona,,,,,,,,Head-to-Head,
2023-05-14,,Serie A,Matchweek 35,Sun,Away,,,,Lazio,,,,,,,,Head-to-Head,
2023-05-21,,Serie A,Matchweek 36,Sun,Home,,,,Spezia,,,,,,,,Head-to-Head,
2023-05-28,,Serie A,Matchweek 37,Sun,Away,,,,Monza,,,,,,,,Head-to-Head,
2023-06-04,,Serie A,Matchweek 38,Sun,Home,,,,Bologna,,,,,,,,Head-to-Head,
