Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Gianluigi Donnarumma,it ITA,GK,24-036,28.0,714,527,187,35,0,1,0,0,0,0,0,0,615,0,0,Matches
Lionel Messi,ar ARG,"FW,MF",35-282,22.5,1432,1316,95,23,44,6,59,2,60,24,21,0,1136,21,48,Matches
Marquinhos,br BRA,DF,28-323,22.1,1587,1533,50,28,3,5,0,16,0,0,0,0,1508,4,6,Matches
Kylian Mbappé,fr FRA,FW,24-103,21.3,879,834,41,0,6,1,36,8,14,2,0,0,708,4,13,Matches
Sergio Ramos,es ESP,DF,37-003,21.0,1726,1665,59,35,0,29,11,24,0,0,0,0,1631,2,9,Matches
Vitinha,pt POR,MF,23-048,19.3,1390,1377,9,5,6,6,5,2,2,1,0,0,1275,4,20,Matches
Marco Verratti,it ITA,MF,30-148,17.8,1799,1696,99,79,10,1,5,20,0,0,0,0,1665,4,10,Matches
Neymar,br BRA,"MF,FW",31-056,17.2,1262,1147,106,33,25,8,54,12,52,26,8,0,1011,9,27,Matches
Danilo Pereira,pt POR,"DF,MF",31-205,17.2,1261,1208,52,26,0,3,1,12,0,0,0,0,1182,1,5,Matches
Achraf Hakimi,ma MAR,"DF,MF",24-149,16.8,1065,977,88,12,1,1,30,75,1,0,0,0,943,0,25,Matches
Fabián Ruiz Peña,es ESP,MF,26-364,14.7,1144,1109,33,20,6,10,5,12,1,0,0,0,1041,2,15,Matches
Nuno Mendes,pt POR,"DF,MF",20-287,14.1,737,671,65,8,2,1,22,57,0,0,0,0,628,1,28,Matches
Juan Bernat,es ESP,DF,30-032,12.7,725,661,64,6,0,2,8,58,0,0,0,0,671,0,8,Matches
Nordi Mukiele,fr FRA,DF,25-152,12.6,674,609,63,9,0,2,16,54,0,0,0,0,585,2,11,Matches
Carlos Soler,es ESP,MF,26-090,9.4,465,447,17,5,3,1,18,5,7,3,2,0,394,1,12,Matches
Presnel Kimpembe,fr FRA,DF,27-232,8.1,503,454,48,13,1,0,0,20,0,0,0,0,471,1,6,Matches
Hugo Ekitike,fr FRA,FW,20-286,9.2,245,226,18,1,1,1,0,0,0,0,0,0,202,1,5,Matches
Warren Zaire-Emery,fr FRA,"MF,DF",17-025,5.8,370,361,8,3,0,0,3,5,0,0,0,0,338,1,6,Matches
Timothee Pembele,fr FRA,DF,20-205,2.9,89,69,20,2,0,0,4,18,0,0,0,0,71,0,7,Matches
Renato Sanches,pt POR,MF,25-227,5.1,438,429,7,4,2,3,3,2,1,0,1,0,401,2,7,Matches
Pablo Sarabia,es ESP,"FW,MF",30-326,4.1,187,171,15,2,5,1,16,1,12,5,5,0,147,1,5,Matches
El Chadaille Bitshiabu,fr FRA,DF,17-321,3.5,279,270,9,0,0,0,0,9,0,0,0,0,258,0,1,Matches
Leandro Paredes,ar ARG,MF,28-277,0.6,70,65,5,5,1,1,0,0,0,0,0,0,68,0,0,Matches
Ismaël Gharbi,es ESP,"MF,FW",18-357,0.5,31,29,2,1,0,0,0,0,1,0,0,0,27,0,0,Matches
Ilyes Housni,fr FRA,FW,17-323,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Squad Total,,,27.6,28.0,19075,17854,1160,355,116,83,296,412,151,61,37,0,16979,61,274,
Opponent Total,,,26.9,28.0,12417,11362,1012,334,37,102,358,293,97,43,37,1,10344,43,219,
