Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Gianluigi Donnarumma,it ITA,GK,24-040,29.0,29,1,1,3,1,31.0,0.26,3.0,0.1,44,120,36.7,581,130,14.5,23.6,156,23.1,26.3,302,27,8.9,24,0.83,13.1,Matches
Squad Total,,,27.5,29.0,29,1,1,3,1,31.0,0.26,3.0,0.1,44,120,36.7,581,130,14.5,23.6,156,23.1,26.3,302,27,8.9,24,0.83,13.1,
Opponent Total,,,26.8,29.0,68,4,2,3,2,68.2,0.32,2.2,0.08,113,285,39.6,673,130,31.9,32.7,172,40.7,36.2,247,15,6.1,14,0.48,11.4,
