Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Gianluigi Donnarumma,it ITA,GK,24-036,28,28,2520,28.0,28,1.0,111,83,75.7,21,3,4,11,39.3,2,1,1,0,50.0,Matches
Squad Total,,,27.6,28,28,2520,28.0,28,1.0,111,83,75.7,21,3,4,11,39.3,2,1,1,0,50.0,
Opponent Total,,,26.9,28,28,2520,28.0,68,2.43,192,124,66.7,4,3,21,3,10.7,6,4,2,0,33.3,
