Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Luigi Sepe,it ITA,GK,31-333,17,17,1530,17.0,27,1.59,87,57,73.6,4,5,8,3,17.6,7,4,3,0,42.9,Matches
Guillermo Ochoa,mx MEX,GK,37-267,11,11,990,11.0,21,1.91,60,38,68.3,2,5,4,2,18.2,3,2,1,0,33.3,Matches
Squad Total,,,28.1,28,28,2520,28.0,48,1.71,147,95,71.4,6,10,12,5,17.9,10,6,4,0,40.0,
Opponent Total,,,27.3,28,28,2520,28.0,32,1.14,90,60,65.6,12,10,6,10,35.7,1,1,0,0,0.0,
