Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Franck Ribéry,fr FRA,MF,39-346,1,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Julian Kristoffersen,no NOR,FW,25-313,1,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Reda Boultam,nl NED,MF,25-016,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Leonardo Capezzi,it ITA,MF,27-356,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jacopo De Matteis,it ITA,GK,20-081,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Vincenzo Fiorillo,it ITA,GK,33-065,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Antonio Iervolino,it ITA,MF,20-077,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Paweł Jaroszyński,pl POL,"DF,MF",28-168,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Wajdi Kechrida,tn TUN,DF,27-134,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alessandro Micai,it ITA,GK,29-238,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Andrei Motoc,ro ROU,MF,20-340,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Andrea Sorrentino,it ITA,GK,18-149,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Freddie Veseli,al ALB,DF,30-119,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.1,27,297,2430.0,27.0,30.0,20.0,50.0,29.0,1.0,1.0,62.0,4.0,26.9,26.2,19.8,46.1,382.0,834.0,824.0,1.11,0.74,1.85,1.07,1.81,1.0,0.73,1.73,0.97,1.71,
Opponent Total,,,27.3,27,297,2430.0,27.0,47.0,30.0,77.0,41.0,6.0,10.0,54.0,5.0,48.5,40.1,29.3,69.4,572.0,1159.0,1154.0,1.74,1.11,2.85,1.52,2.63,1.8,1.08,2.88,1.49,2.57,
