Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Édgar Badía,es ESP,GK,31-035,25.0,49,7,0,4,1,56.0,0.32,8.0,0.32,145,324,44.8,499,107,40.1,36.3,197,62.9,45.6,372,16,4.3,5,0.2,10.6,Matches
Squad Total,,,29.1,25.0,49,7,0,4,1,56.0,0.32,8.0,0.32,145,324,44.8,499,107,40.1,36.3,197,62.9,45.6,372,16,4.3,5,0.2,10.6,
Opponent Total,,,28.0,25.0,19,4,0,3,0,22.7,0.21,3.7,0.15,103,275,37.5,622,101,30.1,31.7,158,55.7,44.5,346,16,4.6,19,0.76,13.6,
