Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Édgar Badía,es ESP,GK,31-035,25,25,2250,25.0,49,1.96,149,98,71.8,2,7,16,1,4.0,10,7,3,0,30.0,Matches
Squad Total,,,29.1,25,25,2250,25.0,49,1.96,149,98,71.8,2,7,16,1,4.0,10,7,3,0,30.0,
Opponent Total,,,28.0,25,25,2250,25.0,19,0.76,84,64,82.1,16,7,2,11,44.0,5,4,1,0,20.0,
