Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Édgar Badía,es ESP,GK,31-035,25.0,700,422,274,77,0,0,0,0,0,0,0,0,485,4,0,Matches
Omar Mascarell,es ESP,MF,30-045,21.2,932,864,66,43,0,15,19,3,17,0,9,2,786,2,9,Matches
Gerard Gumbau,es ESP,MF,28-091,18.6,838,723,107,40,3,29,92,1,62,23,28,3,636,8,23,Matches
Lucas Boyé,ar ARG,FW,27-019,17.8,431,387,43,0,2,4,11,0,0,0,0,0,341,1,21,Matches
Carlos Clerc,es ESP,"DF,MF",31-026,17.5,830,642,185,16,1,4,71,166,3,0,3,0,592,3,29,Matches
Helibelton Palacios,co COL,DF,29-281,16.9,666,542,123,18,0,3,14,105,0,0,0,0,499,1,15,Matches
Enzo Roco,cl CHI,DF,30-215,16.4,606,570,31,30,1,5,1,0,0,0,0,0,492,5,7,Matches
Pedro Bigas,es ESP,DF,32-185,15.7,714,657,50,39,0,13,5,9,0,0,0,0,564,7,9,Matches
Pere Milla,es ESP,"FW,MF",30-177,13.4,413,397,15,4,2,4,13,6,1,0,0,0,292,1,19,Matches
Tete Morente,es ESP,"MF,DF",26-105,11.0,378,339,39,7,0,0,44,27,5,2,1,0,280,0,20,Matches
Raúl Guti,es ESP,MF,26-079,9.8,303,298,4,3,0,7,4,0,1,0,1,0,246,1,6,Matches
Fidel,es ESP,"MF,FW",33-143,8.7,351,327,22,5,3,3,35,3,14,5,6,0,237,2,17,Matches
Ezequiel Ponce,ar ARG,"FW,MF",25-355,11.0,253,243,8,0,1,4,1,0,0,0,0,0,190,2,8,Matches
Roger Martí,es ESP,FW,32-075,7.3,160,147,10,0,0,1,5,0,0,0,0,0,118,3,8,Matches
Álex Collado,es ESP,MF,23-331,6.0,218,208,10,1,1,3,11,1,8,5,0,0,176,0,8,Matches
Diego González,es ESP,DF,28-050,9.3,347,318,29,16,0,2,1,13,0,0,0,0,276,0,5,Matches
Pol Lirola,es ESP,DF,25-218,6.3,288,235,53,4,0,3,29,49,0,0,0,0,208,0,10,Matches
Gonzalo Verdú,es ESP,DF,34-149,6.0,234,221,13,13,0,0,0,0,0,0,0,0,187,0,1,Matches
Carmona,es ESP,"MF,DF",21-049,5.8,168,141,26,0,0,1,12,26,0,0,0,0,115,1,8,Matches
Lisandro Magallán,ar ARG,DF,29-173,4.5,106,104,2,1,0,1,1,1,0,0,0,0,78,0,2,Matches
Josan,es ESP,"DF,MF",33-106,4.9,159,131,28,4,0,0,19,20,4,1,3,0,115,0,1,Matches
Johan Mojica,co COL,"DF,MF",30-210,3.0,178,143,33,3,0,0,14,30,0,0,0,0,127,2,4,Matches
Randy Ntekja,fr FRA,FW,25-103,2.3,51,51,0,0,1,0,0,0,0,0,0,0,32,0,1,Matches
Nicolás Ezequiel Fernández,ar ARG,"MF,DF",23-067,3.6,142,118,24,3,0,1,16,15,6,3,3,0,104,0,7,Matches
Domingos Quina,pt POR,MF,23-121,3.1,147,137,9,4,2,0,6,4,1,0,0,0,122,1,3,Matches
Lautaro Blanco,ar ARG,"DF,MF",24-028,3.0,131,93,37,2,0,0,29,34,1,0,0,1,74,1,5,Matches
John Donald,es ESP,DF,22-201,1.7,33,32,0,0,0,0,0,0,0,0,0,0,28,1,0,Matches
Federico Fernández,ar ARG,DF,34-026,1.0,14,13,1,1,0,0,0,0,0,0,0,0,8,0,0,Matches
Pape Cheikh Diop,sn SEN,MF,25-223,0.4,13,13,0,0,1,0,0,0,0,0,0,0,8,0,0,Matches
Alejandro Alfaro,es ESP,MF,20-277,0.2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Javier Pastore,ar ARG,MF,33-272,0.1,8,7,0,0,0,0,0,0,0,0,0,0,6,1,0,Matches
Squad Total,,,29.1,25.0,9813,8524,1242,334,18,103,453,513,123,39,54,6,7423,47,246,
Opponent Total,,,28.0,25.0,13636,12348,1217,381,45,106,476,494,134,52,39,3,11248,71,218,
