Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP.1,W.1,D.1,L.1,GF.1,GA.1,GD.1,Pts.1,Pts/MP.1,xG.1,xGA.1,xGD.1,xGD/90.1
18,Getafe,13,4,4,5,14,16,-2,16,1.23,13.4,15.8,-2.4,-0.19,12,2,4,6,11,18,-7,10,0.83,9.3,14.0,-4.8,-0.4
19,Almería,14,7,2,5,21,18,3,23,1.64,19.2,21.6,-2.4,-0.17,12,0,3,9,9,27,-18,3,0.25,12.5,22.6,-10.0,-0.84
20,Elche,13,1,4,8,11,21,-10,7,0.54,15.7,21.1,-5.4,-0.42,12,1,3,8,8,28,-20,6,0.5,7.4,29.3,-21.9,-1.83
