Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
José Carlos Marafona,pt POR,GK,35-330,12,12,1066,11.8,14,1.18,51,38,72.5,4,3,5,2,16.7,1,0,0,1,,Matches
Igor Vekič,si SVN,GK,24-332,7,6,551,6.1,9,1.47,19,10,52.6,0,2,4,1,16.7,0,0,0,0,,Matches
Jordi Almeida,br BRA,GK,29-212,6,6,540,6.0,14,2.33,35,23,60.0,0,0,6,0,0.0,0,0,0,0,,Matches
José Oliveira,pt POR,GK,20-362,2,2,180,2.0,6,3.0,13,7,61.5,0,0,2,0,0.0,1,1,0,0,0.0,Matches
Squad Total,,,27.2,26,26,2337,26.0,43,1.66,118,78,64.4,4,5,17,3,11.5,2,1,0,1,0.0,
Opponent Total,,,26.7,26,26,2340,26.0,19,0.73,103,84,82.5,17,5,4,12,46.2,1,1,0,0,0.0,
