Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Danny Ward,wls WAL,GK,29-232,21.0,585,775,75.5,13829,8491,164,165,99.4,291,293,99.3,129,309,41.7,0,0.0,0.0,0.0,0,6,0,0,0,Matches
Timothy Castagne,be BEL,DF,27-066,19.2,847,1059,80.0,12091,4256,531,603,88.1,246,310,79.4,41,76,53.9,2,1.3,1.6,0.7,12,53,15,8,55,Matches
Youri Tielemans,be BEL,MF,25-278,18.3,986,1198,82.3,16343,5526,475,529,89.8,386,447,86.4,92,149,61.7,1,3.7,2.8,-2.7,24,124,26,7,137,Matches
Harvey Barnes,eng ENG,"MF,FW",25-062,17.8,322,455,70.8,4131,1210,207,263,78.7,80,121,66.1,13,25,52.0,1,1.1,1.1,-0.1,10,23,20,2,42,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,24-156,16.1,559,745,75.0,9110,2257,295,349,84.5,191,244,78.3,52,100,52.0,2,2.3,1.7,-0.3,26,74,17,3,88,Matches
Daniel Amartey,gh GHA,DF,28-050,15.2,874,955,91.5,15152,5775,383,407,94.1,423,446,94.8,58,84,69.0,0,0.5,0.4,-0.5,5,52,1,0,62,Matches
Wout Faes,be BEL,DF,24-312,15.0,903,1049,86.1,17046,5916,312,351,88.9,510,545,93.6,73,132,55.3,0,0.3,0.4,-0.3,3,42,5,0,47,Matches
James Justin,eng ENG,DF,24-351,13.9,667,819,81.4,10404,3063,371,408,90.9,239,282,84.8,39,81,48.1,0,0.3,0.5,-0.3,7,48,12,7,47,Matches
James Maddison,eng ENG,"MF,FW",26-078,13.2,465,605,76.9,7916,2282,220,249,88.4,177,222,79.7,50,97,51.5,4,3.0,2.7,1.0,33,68,12,2,83,Matches
Boubakary Soumaré,fr FRA,MF,23-347,9.3,445,500,89.0,6688,1696,245,261,93.9,164,186,88.2,21,26,80.8,0,0.1,0.2,-0.1,2,32,1,0,35,Matches
Jamie Vardy,eng ENG,FW,36-029,12.9,87,161,54.0,1274,268,40,63,63.5,32,58,55.2,5,10,50.0,4,0.7,0.4,3.3,9,7,4,1,8,Matches
Wilfred Ndidi,ng NGA,"MF,DF",26-055,9.7,500,573,87.3,7682,1951,262,277,94.6,196,220,89.1,25,46,54.3,0,0.0,0.1,0.0,1,40,0,0,37,Matches
Jonny Evans,nir NIR,DF,35-037,9.0,600,672,89.3,12037,4584,171,185,92.4,359,379,94.7,64,91,70.3,0,0.0,0.1,0.0,1,40,1,0,31,Matches
Patson Daka,zm ZAM,FW,24-123,7.8,104,157,66.2,1285,275,64,86,74.4,31,45,68.9,1,4,25.0,3,2.3,1.2,0.7,10,5,5,1,11,Matches
Luke Thomas,eng ENG,DF,21-244,7.7,363,456,79.6,5650,2395,201,227,88.5,140,170,82.4,20,36,55.6,0,0.6,0.4,-0.6,3,26,3,1,35,Matches
Dennis Praet,be BEL,MF,28-271,4.0,97,129,75.2,1345,313,56,65,86.2,31,40,77.5,4,10,40.0,0,0.0,0.1,0.0,0,4,3,0,10,Matches
Ayoze Pérez,es ESP,"MF,FW",29-195,4.2,118,171,69.0,1698,469,75,89,84.3,28,43,65.1,9,18,50.0,1,1.5,0.6,-0.5,11,13,6,0,20,Matches
Kelechi Iheanacho,ng NGA,"FW,MF",26-129,4.1,91,116,78.4,1171,218,60,70,85.7,21,26,80.8,4,7,57.1,3,1.9,0.6,1.1,11,5,4,0,8,Matches
Nampalys Mendy,sn SEN,MF,30-231,3.9,161,187,86.1,2465,510,86,95,90.5,64,71,90.1,6,11,54.5,0,0.0,0.1,0.0,0,9,1,0,10,Matches
Wesley Fofana,fr FRA,DF,22-054,2.0,117,140,83.6,1995,559,44,44,100.0,64,74,86.5,6,13,46.2,0,0.0,0.0,0.0,0,16,0,0,6,Matches
Marc Albrighton,eng ENG,"FW,MF",33-083,2.6,90,149,60.4,1447,551,49,61,80.3,23,34,67.6,12,34,35.3,0,0.9,0.4,-0.9,6,6,5,2,7,Matches
Harry Souttar,au AUS,DF,24-110,1.0,27,35,77.1,490,165,6,7,85.7,21,23,91.3,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Tetê,br BRA,FW,22-359,0.9,22,31,71.0,218,31,17,22,77.3,3,5,60.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Victor Bernth Kristiansen,dk DEN,DF,20-055,0.9,21,40,52.5,307,171,13,16,81.3,6,14,42.9,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Çağlar Söyüncü,tr TUR,DF,26-262,0.9,39,49,79.6,667,208,17,18,94.4,21,26,80.8,1,5,20.0,0,0.0,0.0,0.0,0,2,0,0,3,Matches
Lewis Brunt,eng ENG,DF,22-095,0.3,17,21,81.0,283,57,7,8,87.5,10,11,90.9,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,27.1,21.0,9107,11247,81.0,152724,53197,4371,4918,88.9,3757,4335,86.7,727,1374,52.9,21,20.6,15.4,0.4,174,696,141,34,783,
Opponent Total,,,27.2,21.0,8908,11100,80.3,159054,53857,3914,4409,88.8,3862,4460,86.6,912,1610,56.6,24,26.5,19.1,-2.5,214,697,174,48,815,
