Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Danny Ward,wls WAL,GK,29-232,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Timothy Castagne,be BEL,DF,27-066,19.2,1,10,3,30.0,0.52,0.16,0.1,0.33,8.6,0,0,0,1.6,1.6,0.16,-0.6,-0.6,Matches
Youri Tielemans,be BEL,MF,25-278,18.3,3,22,7,31.8,1.2,0.38,0.09,0.29,27.6,1,1,2,2.3,0.7,0.03,0.7,1.3,Matches
Harvey Barnes,eng ENG,"MF,FW",25-062,17.8,7,44,21,47.7,2.47,1.18,0.16,0.33,16.2,0,0,0,5.5,5.5,0.13,1.5,1.5,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,24-156,16.1,2,15,4,26.7,0.93,0.25,0.13,0.5,20.9,0,0,0,1.5,1.5,0.1,0.5,0.5,Matches
Daniel Amartey,gh GHA,DF,28-050,15.2,0,3,2,66.7,0.2,0.13,0.0,0.0,25.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Wout Faes,be BEL,DF,24-312,15.0,0,4,1,25.0,0.27,0.07,0.0,0.0,15.5,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
James Justin,eng ENG,DF,24-351,13.9,0,5,0,0.0,0.36,0.0,0.0,,23.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
James Maddison,eng ENG,"MF,FW",26-078,13.2,8,42,14,33.3,3.19,1.06,0.19,0.57,20.5,7,0,0,3.2,3.2,0.08,4.8,4.8,Matches
Boubakary Soumaré,fr FRA,MF,23-347,9.3,0,1,0,0.0,0.11,0.0,0.0,,28.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Jamie Vardy,eng ENG,FW,36-029,12.9,1,16,7,43.8,1.24,0.54,0.06,0.14,12.5,0,0,0,2.5,2.5,0.15,-1.5,-1.5,Matches
Wilfred Ndidi,ng NGA,"MF,DF",26-055,9.7,0,5,2,40.0,0.51,0.21,0.0,0.0,23.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Jonny Evans,nir NIR,DF,35-037,9.0,0,1,1,100.0,0.11,0.11,0.0,0.0,3.8,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
Patson Daka,zm ZAM,FW,24-123,7.8,3,19,11,57.9,2.42,1.4,0.16,0.27,14.9,0,0,0,2.4,2.4,0.13,0.6,0.6,Matches
Luke Thomas,eng ENG,DF,21-244,7.7,0,2,0,0.0,0.26,0.0,0.0,,11.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Dennis Praet,be BEL,MF,28-271,4.0,1,2,1,50.0,0.5,0.25,0.5,1.0,15.4,0,0,0,0.5,0.5,0.24,0.5,0.5,Matches
Ayoze Pérez,es ESP,"MF,FW",29-195,4.2,0,8,2,25.0,1.88,0.47,0.0,0.0,15.9,0,0,0,1.1,1.1,0.14,-1.1,-1.1,Matches
Kelechi Iheanacho,ng NGA,"FW,MF",26-129,4.1,2,14,4,28.6,3.43,0.98,0.14,0.5,18.2,0,0,0,2.4,2.4,0.17,-0.4,-0.4,Matches
Nampalys Mendy,sn SEN,MF,30-231,3.9,0,1,0,0.0,0.26,0.0,0.0,,22.1,0,0,0,0.1,0.1,0.1,-0.1,-0.1,Matches
Wesley Fofana,fr FRA,DF,22-054,2.0,0,2,1,50.0,1.0,0.5,0.0,0.0,10.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Marc Albrighton,eng ENG,"FW,MF",33-083,2.6,1,2,1,50.0,0.76,0.38,0.5,1.0,8.0,0,0,0,0.3,0.3,0.17,0.7,0.7,Matches
Harry Souttar,au AUS,DF,24-110,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Tetê,br BRA,FW,22-359,0.9,1,3,1,33.3,3.29,1.1,0.33,1.0,15.8,0,0,0,0.8,0.8,0.27,0.2,0.2,Matches
Victor Bernth Kristiansen,dk DEN,DF,20-055,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Çağlar Söyüncü,tr TUR,DF,26-262,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lewis Brunt,eng ENG,DF,22-095,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.1,21.0,30,221,83,37.6,10.52,3.95,0.13,0.35,18.2,8,1,2,25.3,23.7,0.11,4.7,5.3,
Opponent Total,,,27.2,21.0,33,288,92,31.9,13.71,4.38,0.11,0.34,17.1,8,2,2,33.8,32.4,0.12,-0.8,-1.4,
