Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Danny Ward,wls WAL,GK,29-232,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,1.0,32.0,37.0,-5.0,-0.24,,25.3,33.8,-8.5,-0.41,,Matches
Timothy Castagne,be BEL,DF,27-066,20,1731.0,87.0,91.6,19.2,19,89.0,18,1,45.0,1,1.05,30.0,32.0,-2.0,-0.1,1.59,23.1,30.6,-7.5,-0.39,0.18,Matches
Youri Tielemans,be BEL,MF,25-278,21,1647.0,78.0,87.1,18.3,19,84.0,11,2,29.0,0,1.0,28.0,33.0,-5.0,-0.27,-0.27,22.3,29.6,-7.3,-0.4,0.05,Matches
Harvey Barnes,eng ENG,"MF,FW",25-062,19,1606.0,85.0,85.0,17.8,19,85.0,13,0,,0,1.05,27.0,27.0,0.0,0.0,1.58,23.2,28.1,-4.9,-0.28,0.85,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,24-156,19,1448.0,76.0,76.6,16.1,18,79.0,10,1,19.0,0,1.11,25.0,25.0,0.0,0.0,1.02,17.9,25.0,-7.1,-0.44,-0.16,Matches
Daniel Amartey,gh GHA,DF,28-050,17,1365.0,80.0,72.2,15.2,15,88.0,14,2,22.0,2,0.88,18.0,23.0,-5.0,-0.33,-0.33,16.2,23.7,-7.5,-0.49,-0.31,Matches
Wout Faes,be BEL,DF,24-312,15,1350.0,90.0,71.4,15.0,15,90.0,15,0,,0,1.33,24.0,21.0,3.0,0.2,1.53,19.2,23.5,-4.2,-0.28,0.43,Matches
James Justin,eng ENG,DF,24-351,14,1252.0,89.0,66.2,13.9,14,89.0,12,0,,0,1.0,23.0,25.0,-2.0,-0.14,0.28,15.9,20.8,-5.0,-0.36,0.15,Matches
James Maddison,eng ENG,"MF,FW",26-078,15,1186.0,79.0,62.8,13.2,14,83.0,11,1,22.0,0,1.2,24.0,26.0,-2.0,-0.15,0.23,15.3,19.2,-3.9,-0.3,0.29,Matches
