Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Danny Ward,wls WAL,GK,29-232,21.0,0,0,0,0,4,0,0,0,1,0,0,0,22,3,0,100.0,Matches
Timothy Castagne,be BEL,DF,27-066,19.2,2,0,0,16,7,4,41,19,30,0,0,0,95,28,33,45.9,Matches
Youri Tielemans,be BEL,MF,25-278,18.3,3,0,0,21,13,0,33,19,27,0,0,0,147,17,8,68.0,Matches
Harvey Barnes,eng ENG,"MF,FW",25-062,17.8,0,0,0,21,22,4,21,4,10,0,0,0,53,17,33,34.0,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,24-156,16.1,1,0,0,17,18,0,35,15,15,0,0,0,94,10,8,55.6,Matches
Daniel Amartey,gh GHA,DF,28-050,15.2,1,0,0,7,3,0,0,8,6,0,1,0,84,29,23,55.8,Matches
Wout Faes,be BEL,DF,24-312,15.0,1,0,0,14,7,0,0,16,19,0,0,2,85,29,18,61.7,Matches
James Justin,eng ENG,DF,24-351,13.9,0,0,0,8,29,2,21,15,18,1,0,0,64,23,32,41.8,Matches
James Maddison,eng ENG,"MF,FW",26-078,13.2,5,0,0,15,34,2,55,9,10,0,0,0,40,2,7,22.2,Matches
Boubakary Soumaré,fr FRA,MF,23-347,9.3,4,0,0,14,10,0,1,16,23,0,0,0,62,9,9,50.0,Matches
Jamie Vardy,eng ENG,FW,36-029,12.9,1,0,0,14,1,15,4,2,3,0,0,0,25,21,34,38.2,Matches
Wilfred Ndidi,ng NGA,"MF,DF",26-055,9.7,3,0,0,17,7,0,1,17,19,0,1,0,79,9,14,39.1,Matches
Jonny Evans,nir NIR,DF,35-037,9.0,0,0,0,7,4,0,0,16,4,0,0,0,45,20,11,64.5,Matches
Patson Daka,zm ZAM,FW,24-123,7.8,2,0,0,11,6,5,4,3,5,1,0,0,18,11,18,37.9,Matches
Luke Thomas,eng ENG,DF,21-244,7.7,1,0,0,6,7,0,6,21,11,0,0,1,45,8,8,50.0,Matches
Dennis Praet,be BEL,MF,28-271,4.0,1,0,0,5,6,1,10,1,7,0,0,0,26,0,8,0.0,Matches
Ayoze Pérez,es ESP,"MF,FW",29-195,4.2,0,0,0,7,12,0,17,2,8,0,0,0,35,2,4,33.3,Matches
Kelechi Iheanacho,ng NGA,"FW,MF",26-129,4.1,0,0,0,8,1,2,2,0,0,0,0,0,12,0,6,0.0,Matches
Nampalys Mendy,sn SEN,MF,30-231,3.9,0,0,0,3,4,0,1,5,2,0,0,0,20,0,5,0.0,Matches
Wesley Fofana,fr FRA,DF,22-054,2.0,1,0,0,2,3,1,0,9,2,0,0,0,10,5,6,45.5,Matches
Marc Albrighton,eng ENG,"FW,MF",33-083,2.6,0,0,0,2,2,1,28,1,1,0,0,0,14,1,1,50.0,Matches
Harry Souttar,au AUS,DF,24-110,1.0,0,0,0,0,0,0,0,0,1,0,0,1,2,4,0,100.0,Matches
Tetê,br BRA,FW,22-359,0.9,0,0,0,0,4,2,3,1,0,0,0,0,10,0,2,0.0,Matches
Victor Bernth Kristiansen,dk DEN,DF,20-055,0.9,0,0,0,0,0,0,4,0,5,0,0,0,4,1,2,33.3,Matches
Çağlar Söyüncü,tr TUR,DF,26-262,0.9,1,0,0,1,0,0,0,1,1,0,0,0,2,0,1,0.0,Matches
Lewis Brunt,eng ENG,DF,22-095,0.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
Squad Total,,,27.1,21.0,27,0,0,216,205,39,287,200,228,2,2,4,1094,249,291,46.1,
Opponent Total,,,27.2,21.0,33,1,1,212,207,40,386,206,180,2,2,2,1147,291,249,53.9,
