Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Danny Ward,wls WAL,GK,29-232,21.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,13,2,Matches
Timothy Castagne,be BEL,DF,27-066,19.2,50,30,32,14,4,22,38,57.9,16,26,8,18,19,69,54,0,Matches
Youri Tielemans,be BEL,MF,25-278,18.3,46,27,19,19,8,20,41,48.8,21,31,6,25,19,65,15,0,Matches
Harvey Barnes,eng ENG,"MF,FW",25-062,17.8,14,10,7,5,2,8,20,40.0,12,16,0,16,4,18,5,0,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,24-156,16.1,27,15,7,17,3,9,27,33.3,18,30,3,27,15,42,13,0,Matches
Daniel Amartey,gh GHA,DF,28-050,15.2,17,6,11,5,1,10,12,83.3,2,19,12,7,8,25,58,0,Matches
Wout Faes,be BEL,DF,24-312,15.0,34,19,15,18,1,18,23,78.3,5,21,14,7,16,50,53,1,Matches
James Justin,eng ENG,DF,24-351,13.9,20,18,7,12,1,9,13,69.2,4,24,6,18,15,35,47,0,Matches
James Maddison,eng ENG,"MF,FW",26-078,13.2,25,10,12,10,3,9,26,34.6,17,7,0,7,9,34,5,0,Matches
Boubakary Soumaré,fr FRA,MF,23-347,9.3,34,23,14,18,2,15,24,62.5,9,5,2,3,16,50,16,0,Matches
Jamie Vardy,eng ENG,FW,36-029,12.9,7,3,4,1,2,1,2,50.0,1,8,1,7,2,9,19,0,Matches
Wilfred Ndidi,ng NGA,"MF,DF",26-055,9.7,27,19,15,12,0,8,21,38.1,13,17,7,10,17,44,21,1,Matches
Jonny Evans,nir NIR,DF,35-037,9.0,10,4,10,0,0,6,10,60.0,4,6,5,1,16,26,32,0,Matches
Patson Daka,zm ZAM,FW,24-123,7.8,8,5,3,5,0,1,4,25.0,3,7,2,5,3,11,6,0,Matches
Luke Thomas,eng ENG,DF,21-244,7.7,12,11,6,5,1,9,19,47.4,10,12,2,10,21,33,21,0,Matches
Dennis Praet,be BEL,MF,28-271,4.0,9,7,5,3,1,5,8,62.5,3,7,1,6,1,10,4,0,Matches
Ayoze Pérez,es ESP,"MF,FW",29-195,4.2,11,8,5,4,2,8,19,42.1,11,6,0,6,2,13,3,0,Matches
Kelechi Iheanacho,ng NGA,"FW,MF",26-129,4.1,1,0,0,0,1,1,3,33.3,2,3,1,2,0,1,3,0,Matches
Nampalys Mendy,sn SEN,MF,30-231,3.9,3,2,2,1,0,2,6,33.3,4,7,2,5,5,8,1,0,Matches
Wesley Fofana,fr FRA,DF,22-054,2.0,4,2,1,2,1,1,3,33.3,2,1,1,0,9,13,5,0,Matches
Marc Albrighton,eng ENG,"FW,MF",33-083,2.6,4,1,0,2,2,1,7,14.3,6,6,2,4,1,5,5,0,Matches
Harry Souttar,au AUS,DF,24-110,1.0,1,1,1,0,0,1,2,50.0,1,1,1,0,0,1,7,0,Matches
Tetê,br BRA,FW,22-359,0.9,1,0,1,0,0,0,1,0.0,1,1,0,1,1,2,0,0,Matches
Victor Bernth Kristiansen,dk DEN,DF,20-055,0.9,6,5,4,2,0,3,3,100.0,0,1,0,1,0,6,6,0,Matches
Çağlar Söyüncü,tr TUR,DF,26-262,0.9,2,1,1,1,0,1,1,100.0,0,2,1,1,1,3,2,0,Matches
Lewis Brunt,eng ENG,DF,22-095,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Squad Total,,,27.1,21.0,374,228,183,156,35,169,336,50.3,167,264,77,187,200,574,416,4,
Opponent Total,,,27.2,21.0,297,180,137,122,38,128,237,54.0,109,257,57,200,206,503,324,6,
