Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Danny Ward,wls WAL,GK,29-232,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Timothy Castagne,be BEL,DF,27-066,20,19,1731.0,19.2,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,1.3,2.9,24.0,55.0,98.0,0.05,0.1,0.16,0.05,0.16,0.09,0.07,0.15,0.09,0.15,Matches
Youri Tielemans,be BEL,MF,25-278,21,19,1647.0,18.3,3.0,1.0,4.0,2.0,1.0,2.0,3.0,0.0,2.3,0.7,3.7,4.4,25.0,137.0,46.0,0.16,0.05,0.22,0.11,0.16,0.13,0.2,0.33,0.04,0.24,Matches
Harvey Barnes,eng ENG,"MF,FW",25-062,19,19,1606.0,17.8,7.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,5.5,5.5,1.1,6.6,54.0,42.0,161.0,0.39,0.06,0.45,0.39,0.45,0.31,0.06,0.37,0.31,0.37,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,24-156,19,18,1448.0,16.1,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.5,1.5,2.3,3.8,46.0,88.0,62.0,0.12,0.12,0.25,0.12,0.25,0.09,0.14,0.24,0.09,0.24,Matches
Daniel Amartey,gh GHA,DF,28-050,17,15,1365.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.5,0.6,18.0,62.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Wout Faes,be BEL,DF,24-312,15,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.3,0.7,4.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.02,0.05,Matches
James Justin,eng ENG,DF,24-351,14,14,1252.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,20.0,47.0,50.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.02,0.05,Matches
James Maddison,eng ENG,"MF,FW",26-078,15,14,1186.0,13.2,8.0,4.0,12.0,8.0,0.0,0.0,5.0,0.0,3.2,3.2,3.0,6.2,34.0,83.0,76.0,0.61,0.3,0.91,0.61,0.91,0.25,0.23,0.47,0.25,0.47,Matches
