Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Danny Ward,wls WAL,GK,29-232,21,21,1890,21.0,37,1.76,94,60,62.8,6,3,12,6,28.6,2,2,0,0,0.0,Matches
Squad Total,,,27.1,21,21,1890,21.0,37,1.76,94,60,62.8,6,3,12,6,28.6,2,2,0,0,0.0,
Opponent Total,,,27.2,21,21,1890,21.0,32,1.52,85,54,63.5,12,3,6,6,28.6,2,1,1,0,50.0,
