Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Kevin Trapp,de GER,GK,32-254,23,23,2070,23.0,33,1.43,86,54,62.8,11,6,6,5,21.7,1,1,0,0,0.0,Matches
Diant Ramaj,de GER,GK,21-181,1,1,90,1.0,1,1.0,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches
Squad Total,,,26.7,24,24,2160,24.0,34,1.42,91,58,63.7,11,7,6,5,20.8,1,1,0,0,0.0,
Opponent Total,,,27.0,24,24,2160,24.0,46,1.92,97,52,56.7,6,7,11,3,12.5,4,4,0,0,0.0,
