Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Kevin Trapp,de GER,GK,32-254,23.0,33,1,1,6,1,27.7,0.32,-4.3,-0.19,61,250,24.4,461,97,42.3,36.1,154,35.7,36.7,291,13,4.5,15,0.65,13.5,Matches
Diant Ramaj,de GER,GK,21-181,1.0,1,0,0,1,0,1.0,0.2,0.0,0.01,1,3,33.3,21,7,9.5,29.1,4,25.0,22.0,15,1,6.7,1,1.0,11.5,Matches
Squad Total,,,26.7,24.0,34,1,1,7,1,28.7,0.31,-4.3,-0.18,62,253,24.5,482,104,40.9,35.8,158,35.4,36.3,306,14,4.6,16,0.67,13.3,
Opponent Total,,,27.0,24.0,46,4,2,5,1,35.1,0.32,-9.9,-0.41,121,292,41.4,850,113,28.1,30.1,161,32.9,34.5,284,18,6.3,42,1.75,16.9,
