Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Robin Zentner,de GER,GK,28-157,20.0,26,1,1,2,0,24.2,0.29,-1.8,-0.09,121,371,32.6,490,98,53.1,41.3,141,78.7,57.8,239,33,13.8,42,2.1,17.9,Matches
Finn Dahmen,de GER,GK,25-007,6.0,10,1,0,2,0,9.5,0.29,-0.5,-0.09,40,104,38.5,160,23,45.0,37.1,40,80.0,54.3,101,10,9.9,7,1.17,16.5,Matches
Squad Total,,,27.6,26.0,36,2,1,4,0,33.6,0.29,-2.4,-0.09,161,475,33.9,650,121,51.1,40.3,181,79.0,57.0,340,43,12.6,49,1.88,17.6,
Opponent Total,,,27.4,26.0,43,4,2,6,0,41.2,0.29,-1.8,-0.07,184,491,37.5,977,127,38.5,35.3,190,60.5,47.2,377,19,5.0,55,2.12,18.1,
