Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Jefferson Lerma,co COL,"MF,DF",28-107,20.9,2,16,3,18.8,0.76,0.14,0.13,0.67,16.2,0,0,0,1.3,1.3,0.08,0.7,0.7,Matches
Adam Smith,eng ENG,DF,31-286,19.2,0,3,1,33.3,0.16,0.05,0.0,0.0,12.5,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
Philip Billing,dk DEN,"MF,FW",26-243,16.3,4,19,10,52.6,1.17,0.61,0.21,0.4,19.8,3,0,0,1.6,1.6,0.09,2.4,2.4,Matches
Chris Mepham,wls WAL,DF,25-096,16.9,0,6,2,33.3,0.36,0.12,0.0,0.0,11.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Lewis Cook,eng ENG,MF,26-006,16.5,0,5,0,0.0,0.3,0.0,0.0,,28.0,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Marcos Senesi,ar ARG,DF,25-275,15.3,0,1,0,0.0,0.07,0.0,0.0,,8.9,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
Dominic Solanke,eng ENG,"FW,MF",25-148,14.9,3,31,14,45.2,2.08,0.94,0.1,0.21,13.9,0,0,0,2.9,2.9,0.09,0.1,0.1,Matches
Marcus Tavernier,eng ENG,"MF,FW",23-324,14.3,2,25,8,32.0,1.75,0.56,0.08,0.25,17.3,2,0,0,1.7,1.7,0.07,0.3,0.3,Matches
Jordan Zemura,zw ZIM,DF,23-087,12.5,0,4,0,0.0,0.32,0.0,0.0,,12.9,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
Kieffer Moore,wls WAL,FW,30-185,12.4,4,17,6,35.3,1.37,0.48,0.24,0.67,11.0,0,0,0,3.2,3.2,0.19,0.8,0.8,Matches
Ryan Christie,sct SCO,"MF,FW",27-352,11.5,1,17,5,29.4,1.48,0.43,0.06,0.2,14.1,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Matches
Neto,br BRA,GK,33-205,10.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mark Travers,ie IRL,GK,23-267,10.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lloyd Kelly,eng ENG,DF,24-126,10.0,0,2,0,0.0,0.2,0.0,0.0,,8.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Jaidon Anthony,eng ENG,"MF,FW",23-070,8.0,3,16,10,62.5,2.0,1.25,0.19,0.3,19.7,2,0,0,1.4,1.4,0.09,1.6,1.6,Matches
Ryan Fredericks,eng ENG,DF,30-122,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jack Stacey,eng ENG,DF,26-309,3.3,0,1,0,0.0,0.3,0.0,0.0,,16.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Ben Pearson,eng ENG,MF,28-036,3.2,0,2,1,50.0,0.63,0.31,0.0,0.0,25.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Jack Stephens,eng ENG,DF,29-013,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Dango Ouattara,bf BFA,MF,20-363,2.0,0,9,2,22.2,4.5,1.0,0.0,0.0,12.5,0,0,0,0.9,0.9,0.1,-0.9,-0.9,Matches
Joe Rothwell,eng ENG,"MF,DF",28-029,1.7,0,1,1,100.0,0.57,0.57,0.0,0.0,29.6,1,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Antoine Semenyo,gh GHA,FW,23-033,1.0,0,1,0,0.0,1.0,0.0,0.0,,18.6,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
Hamed Junior Traorè,ci CIV,FW,22-358,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Siriki Dembélé,ci CIV,"FW,MF",26-155,1.2,0,2,2,100.0,1.64,1.64,0.0,0.0,16.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
Junior Stanislas,eng ENG,MF,33-075,0.7,0,1,0,0.0,1.48,0.0,0.0,,24.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Jamal Lowe,jm JAM,"MF,FW",28-203,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Matías Viña,uy URU,MF,25-092,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Owen Bevan,wls WAL,DF,19-106,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Emiliano Marcondes,dk DEN,MF,27-337,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,26.9,21.0,19,179,65,36.3,8.52,3.1,0.11,0.29,15.9,9,0,0,16.4,16.4,0.09,2.6,2.6,
Opponent Total,,,27.3,21.0,41,335,100,29.9,15.95,4.76,0.1,0.35,17.3,9,6,6,35.3,30.6,0.09,5.7,4.4,
