Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Jefferson Lerma,co COL,"MF,DF",28-107,20.9,909,875,34,25,3,2,4,7,0,0,0,0,743,0,13,Matches
Adam Smith,eng ENG,DF,31-286,19.2,809,643,165,14,0,2,25,151,0,0,0,0,626,1,17,Matches
Philip Billing,dk DEN,"MF,FW",26-243,16.3,508,494,13,8,1,5,20,2,2,2,0,0,380,1,19,Matches
Chris Mepham,wls WAL,DF,25-096,16.9,696,672,22,15,0,2,0,7,0,0,0,0,575,2,5,Matches
Lewis Cook,eng ENG,MF,26-006,16.5,646,595,48,30,1,3,36,0,10,10,0,0,509,3,17,Matches
Marcos Senesi,ar ARG,DF,25-275,15.3,715,665,45,30,0,8,6,14,0,0,0,0,564,5,9,Matches
Dominic Solanke,eng ENG,"FW,MF",25-148,14.9,231,206,25,0,1,1,4,1,0,0,0,0,162,0,18,Matches
Marcus Tavernier,eng ENG,"MF,FW",23-324,14.3,506,423,82,20,2,6,77,19,40,22,9,3,346,1,17,Matches
Jordan Zemura,zw ZIM,DF,23-087,12.5,466,372,93,6,0,1,14,87,0,0,0,0,329,1,25,Matches
Kieffer Moore,wls WAL,FW,30-185,12.4,317,295,22,1,0,1,6,0,0,0,0,0,186,0,12,Matches
Ryan Christie,sct SCO,"MF,FW",27-352,11.5,353,339,13,2,3,5,14,1,10,3,3,0,285,1,5,Matches
Neto,br BRA,GK,33-205,10.5,314,199,115,29,0,1,0,0,0,0,0,0,204,0,0,Matches
Mark Travers,ie IRL,GK,23-267,10.5,324,182,142,32,0,0,0,1,0,0,0,0,244,0,0,Matches
Lloyd Kelly,eng ENG,DF,24-126,10.0,490,434,53,20,0,7,6,32,0,0,0,0,388,3,4,Matches
Jaidon Anthony,eng ENG,"MF,FW",23-070,8.0,321,287,34,8,2,5,30,14,11,7,0,1,232,0,13,Matches
Ryan Fredericks,eng ENG,DF,30-122,5.0,202,163,39,1,0,0,13,38,0,0,0,0,138,0,9,Matches
Jack Stacey,eng ENG,DF,26-309,3.3,126,103,22,0,0,0,10,22,0,0,0,0,72,1,7,Matches
Ben Pearson,eng ENG,MF,28-036,3.2,134,130,4,3,0,1,0,0,0,0,0,0,108,0,1,Matches
Jack Stephens,eng ENG,DF,29-013,2.0,64,63,1,1,0,0,0,0,0,0,0,0,58,0,1,Matches
Dango Ouattara,bf BFA,MF,20-363,2.0,50,49,1,0,0,2,7,1,0,0,0,0,33,0,2,Matches
Joe Rothwell,eng ENG,"MF,DF",28-029,1.7,70,64,6,0,1,0,4,1,4,0,3,1,60,0,0,Matches
Antoine Semenyo,gh GHA,FW,23-033,1.0,16,14,2,0,0,0,1,0,0,0,0,0,11,0,0,Matches
Hamed Junior Traorè,ci CIV,FW,22-358,0.7,20,19,1,0,0,0,3,0,1,1,0,0,12,0,0,Matches
Siriki Dembélé,ci CIV,"FW,MF",26-155,1.2,47,45,2,0,0,0,3,2,0,0,0,0,37,0,1,Matches
Junior Stanislas,eng ENG,MF,33-075,0.7,28,27,1,0,0,1,1,0,1,0,0,0,22,0,1,Matches
Jamal Lowe,jm JAM,"MF,FW",28-203,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches
Matías Viña,uy URU,MF,25-092,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Owen Bevan,wls WAL,DF,19-106,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches
Emiliano Marcondes,dk DEN,MF,27-337,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,26.9,21.0,8371,7367,985,245,14,53,284,400,79,45,15,5,6330,19,198,
Opponent Total,,,27.3,21.0,12610,11672,903,221,18,75,532,387,142,64,52,1,10420,35,212,
