Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Neto,br BRA,GK,33-205,11,11,945,10.5,12,1.14,46,34,82.6,2,5,4,2,18.2,4,4,0,0,0.0,Matches
Mark Travers,ie IRL,GK,23-267,11,10,945,10.5,31,2.95,60,31,51.7,2,0,8,2,20.0,2,2,0,0,0.0,Matches
Squad Total,,,26.9,21,21,1890,21.0,43,2.05,106,65,65.1,4,5,12,4,19.0,6,6,0,0,0.0,
Opponent Total,,,27.3,21,21,1890,21.0,19,0.9,65,46,70.8,12,5,4,12,57.1,0,0,0,0,,
