Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Jefferson Lerma,co COL,"MF,DF",28-107,21,1883.0,90.0,99.6,20.9,21,90.0,20,0,,0,0.81,19.0,42.0,-23.0,-1.1,11.76,16.3,34.8,-18.4,-0.88,5.45,Matches
Adam Smith,eng ENG,DF,31-286,20,1727.0,86.0,91.4,19.2,20,86.0,18,0,,0,0.85,19.0,36.0,-17.0,-0.89,2.98,15.6,31.5,-15.9,-0.83,0.86,Matches
Philip Billing,dk DEN,"MF,FW",26-243,20,1465.0,73.0,77.5,16.3,18,77.0,4,2,36.0,0,0.8,18.0,30.0,-12.0,-0.74,1.8,12.3,24.2,-11.9,-0.73,0.77,Matches
Chris Mepham,wls WAL,DF,25-096,17,1521.0,89.0,80.5,16.9,17,89.0,16,0,,2,0.76,15.0,37.0,-22.0,-1.3,-0.81,11.5,28.9,-17.4,-1.03,-0.66,Matches
Lewis Cook,eng ENG,MF,26-006,19,1486.0,78.0,78.6,16.5,17,84.0,13,2,32.0,0,0.84,17.0,34.0,-17.0,-1.03,0.53,12.8,27.2,-14.4,-0.87,0.14,Matches
Marcos Senesi,ar ARG,DF,25-275,17,1376.0,81.0,72.8,15.3,16,85.0,12,1,11.0,3,0.53,13.0,35.0,-22.0,-1.44,-1.09,12.7,26.6,-14.0,-0.91,-0.04,Matches
Dominic Solanke,eng ENG,"FW,MF",25-148,16,1341.0,84.0,71.0,14.9,15,86.0,8,1,45.0,0,1.0,18.0,24.0,-6.0,-0.4,2.55,12.4,23.1,-10.6,-0.71,0.65,Matches
Marcus Tavernier,eng ENG,"MF,FW",23-324,15,1283.0,86.0,67.9,14.3,15,86.0,9,0,,0,1.07,18.0,31.0,-13.0,-0.91,0.72,11.2,23.3,-12.1,-0.85,0.17,Matches
Jordan Zemura,zw ZIM,DF,23-087,15,1127.0,75.0,59.6,12.5,13,83.0,10,2,23.0,5,0.93,9.0,25.0,-16.0,-1.28,-0.33,9.3,20.6,-11.3,-0.9,0.0,Matches
Kieffer Moore,wls WAL,FW,30-185,20,1119.0,56.0,59.2,12.4,12,86.0,8,8,11.0,1,0.85,10.0,33.0,-23.0,-1.85,-1.73,8.7,22.8,-14.1,-1.13,-0.57,Matches
Ryan Christie,sct SCO,"MF,FW",27-352,19,1036.0,55.0,54.8,11.5,12,76.0,2,7,18.0,2,0.89,8.0,22.0,-14.0,-1.22,-0.16,9.0,18.8,-9.8,-0.85,0.11,Matches
Neto,br BRA,GK,33-205,11,945.0,86.0,50.0,10.5,11,86.0,10,0,,3,1.0,9.0,12.0,-3.0,-0.29,1.71,8.9,16.5,-7.6,-0.73,0.35,Matches
Mark Travers,ie IRL,GK,23-267,11,945.0,86.0,50.0,10.5,10,90.0,10,1,45.0,10,0.55,10.0,31.0,-21.0,-2.0,-1.71,7.5,18.8,-11.3,-1.08,-0.35,Matches
Lloyd Kelly,eng ENG,DF,24-126,10,900.0,90.0,47.6,10.0,10,90.0,10,0,,0,0.8,6.0,19.0,-13.0,-1.3,-0.3,5.8,16.0,-10.2,-1.02,-0.22,Matches
Jaidon Anthony,eng ENG,"MF,FW",23-070,16,721.0,45.0,38.1,8.0,6,82.0,3,10,23.0,5,0.81,3.0,20.0,-17.0,-2.12,-1.58,6.2,16.1,-9.9,-1.23,-0.53,Matches
Ryan Fredericks,eng ENG,DF,30-122,8,451.0,56.0,23.9,5.0,5,74.0,1,3,27.0,1,1.0,10.0,9.0,1.0,0.2,1.76,5.6,8.5,-2.9,-0.57,0.43,Matches
Jack Stacey,eng ENG,DF,26-309,9,297.0,33.0,15.7,3.3,3,75.0,2,6,12.0,11,0.89,0.0,10.0,-10.0,-3.03,-2.24,0.9,6.1,-5.1,-1.55,-0.77,Matches
Ben Pearson,eng ENG,MF,28-036,7,286.0,41.0,15.1,3.2,3,69.0,1,4,20.0,7,1.0,1.0,10.0,-9.0,-2.83,-1.99,1.3,5.8,-4.6,-1.43,-0.63,Matches
Jack Stephens,eng ENG,DF,29-013,4,183.0,46.0,9.7,2.0,2,90.0,2,2,2.0,10,1.25,4.0,2.0,2.0,0.98,2.35,3.8,3.0,0.8,0.37,1.41,Matches
