Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Jefferson Lerma,co COL,"MF,DF",28-107,20.9,31,17,16,11,4,15,21,71.4,6,16,8,8,21,52,64,1,Matches
Adam Smith,eng ENG,DF,31-286,19.2,34,21,20,11,3,20,38,52.6,18,23,9,14,13,47,44,0,Matches
Philip Billing,dk DEN,"MF,FW",26-243,16.3,35,19,14,14,7,8,16,50.0,8,27,5,22,14,49,29,0,Matches
Chris Mepham,wls WAL,DF,25-096,16.9,25,12,20,5,0,8,13,61.5,5,29,19,10,14,39,98,0,Matches
Lewis Cook,eng ENG,MF,26-006,16.5,36,22,9,22,5,17,32,53.1,15,24,9,15,17,53,23,0,Matches
Marcos Senesi,ar ARG,DF,25-275,15.3,31,21,21,10,0,14,21,66.7,7,21,11,10,21,52,78,0,Matches
Dominic Solanke,eng ENG,"FW,MF",25-148,14.9,7,4,4,1,2,3,10,30.0,7,11,4,7,2,9,21,0,Matches
Marcus Tavernier,eng ENG,"MF,FW",23-324,14.3,25,16,14,10,1,7,14,50.0,7,15,1,14,4,29,20,0,Matches
Jordan Zemura,zw ZIM,DF,23-087,12.5,32,19,18,13,1,20,30,66.7,10,23,7,16,13,45,22,0,Matches
Kieffer Moore,wls WAL,FW,30-185,12.4,13,11,2,8,3,5,16,31.3,11,10,5,5,1,14,20,0,Matches
Ryan Christie,sct SCO,"MF,FW",27-352,11.5,20,15,5,15,0,9,25,36.0,16,14,2,12,18,38,12,0,Matches
Neto,br BRA,GK,33-205,10.5,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,1,Matches
Mark Travers,ie IRL,GK,23-267,10.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,6,0,Matches
Lloyd Kelly,eng ENG,DF,24-126,10.0,12,7,9,3,0,7,10,70.0,3,12,9,3,13,25,48,0,Matches
Jaidon Anthony,eng ENG,"MF,FW",23-070,8.0,20,10,9,6,5,6,17,35.3,11,13,1,12,3,23,9,0,Matches
Ryan Fredericks,eng ENG,DF,30-122,5.0,1,1,1,0,0,0,2,0.0,2,6,1,5,0,1,20,0,Matches
Jack Stacey,eng ENG,DF,26-309,3.3,5,4,3,1,1,2,5,40.0,3,3,1,2,5,10,15,0,Matches
Ben Pearson,eng ENG,MF,28-036,3.2,7,3,3,3,1,1,3,33.3,2,4,0,4,2,9,6,0,Matches
Jack Stephens,eng ENG,DF,29-013,2.0,3,2,1,2,0,1,1,100.0,0,3,3,0,0,3,7,0,Matches
Dango Ouattara,bf BFA,MF,20-363,2.0,3,2,1,2,0,1,1,100.0,0,2,2,0,2,5,6,1,Matches
Joe Rothwell,eng ENG,"MF,DF",28-029,1.7,3,1,0,3,0,0,1,0.0,1,2,0,2,2,5,1,0,Matches
Antoine Semenyo,gh GHA,FW,23-033,1.0,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,Matches
Hamed Junior Traorè,ci CIV,FW,22-358,0.7,3,3,1,1,1,1,1,100.0,0,1,0,1,1,4,0,0,Matches
Siriki Dembélé,ci CIV,"FW,MF",26-155,1.2,3,1,2,1,0,0,1,0.0,1,1,0,1,1,4,1,0,Matches
Junior Stanislas,eng ENG,MF,33-075,0.7,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0,Matches
Jamal Lowe,jm JAM,"MF,FW",28-203,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Matías Viña,uy URU,MF,25-092,0.1,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches
Owen Bevan,wls WAL,DF,19-106,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Emiliano Marcondes,dk DEN,MF,27-337,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Squad Total,,,26.9,21.0,352,212,175,142,35,147,281,52.3,134,263,98,165,167,519,553,3,
Opponent Total,,,27.3,21.0,395,228,173,149,73,177,307,57.7,130,216,39,177,149,544,307,6,
