Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Neto,br BRA,GK,33-205,10.5,12,4,0,3,0,14.9,0.24,2.9,0.27,80,175,45.7,228,49,50.0,38.4,86,70.9,46.2,216,16,7.4,9,0.86,11.2,Matches
Mark Travers,ie IRL,GK,23-267,10.5,31,2,0,8,2,22.1,0.34,-6.9,-0.66,70,146,47.9,215,47,38.1,32.6,109,58.7,45.7,206,5,2.4,4,0.38,9.6,Matches
Squad Total,,,26.9,21.0,43,6,0,11,2,37.0,0.3,-4.0,-0.19,150,321,46.7,443,96,44.2,35.6,195,64.1,45.9,422,21,5.0,13,0.62,10.6,
Opponent Total,,,27.3,21.0,19,0,0,3,0,16.2,0.25,-2.8,-0.13,58,163,35.6,486,101,25.3,30.1,107,37.4,36.1,222,14,6.3,20,0.95,16.1,
