Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Jefferson Lerma,co COL,"MF,DF",28-107,20.9,1107,116,384,553,185,26,1107,15,8,53.3,7,46.7,517,2130,1047,13,19,1,16,11,658,17,Matches
Adam Smith,eng ENG,DF,31-286,19.2,968,59,389,418,175,9,968,19,4,21.1,12,63.2,415,1796,925,16,14,1,16,3,506,18,Matches
Philip Billing,dk DEN,"MF,FW",26-243,16.3,705,38,168,319,226,38,705,24,12,50.0,10,41.7,377,1973,893,22,17,4,26,26,460,58,Matches
Chris Mepham,wls WAL,DF,25-096,16.9,880,203,589,279,17,7,880,1,0,0.0,0,0.0,433,2030,1067,1,3,1,4,3,530,0,Matches
Lewis Cook,eng ENG,MF,26-006,16.5,798,54,240,412,157,8,798,16,6,37.5,8,50.0,358,1888,741,9,15,1,13,14,434,8,Matches
Marcos Senesi,ar ARG,DF,25-275,15.3,888,177,580,292,26,7,888,4,2,50.0,2,50.0,479,2228,1241,3,4,0,10,4,510,1,Matches
Dominic Solanke,eng ENG,"FW,MF",25-148,14.9,434,23,74,187,184,59,434,44,17,38.6,25,56.8,270,1899,713,26,16,11,55,32,312,69,Matches
Marcus Tavernier,eng ENG,"MF,FW",23-324,14.3,707,22,144,280,309,43,707,68,30,44.1,33,48.5,406,2895,1400,49,33,16,35,30,438,99,Matches
Jordan Zemura,zw ZIM,DF,23-087,12.5,635,39,226,241,176,28,635,27,10,37.0,15,55.6,303,1917,972,32,23,8,24,14,333,37,Matches
Kieffer Moore,wls WAL,FW,30-185,12.4,449,29,48,257,145,41,449,11,1,9.1,6,54.5,224,860,268,10,8,2,38,30,346,44,Matches
Ryan Christie,sct SCO,"MF,FW",27-352,11.5,512,21,108,240,171,30,512,42,17,40.5,21,50.0,306,1867,834,21,16,5,25,24,322,37,Matches
Neto,br BRA,GK,33-205,10.5,336,289,335,1,0,0,336,0,0,,0,,178,1082,736,0,0,0,1,0,102,0,Matches
Mark Travers,ie IRL,GK,23-267,10.5,354,328,353,1,0,0,354,0,0,,0,,159,786,413,0,0,0,0,0,120,0,Matches
Lloyd Kelly,eng ENG,DF,24-126,10.0,592,89,363,197,36,5,592,1,1,100.0,0,0.0,290,1656,1024,4,1,0,9,0,345,1,Matches
Jaidon Anthony,eng ENG,"MF,FW",23-070,8.0,423,11,74,157,197,22,423,23,7,30.4,16,69.6,238,1348,567,18,17,8,14,9,272,41,Matches
Ryan Fredericks,eng ENG,DF,30-122,5.0,247,23,75,100,74,5,247,6,1,16.7,4,66.7,105,644,356,11,9,1,4,3,141,23,Matches
Jack Stacey,eng ENG,DF,26-309,3.3,167,17,66,56,47,2,167,6,2,33.3,4,66.7,73,458,221,9,4,1,3,4,76,15,Matches
Ben Pearson,eng ENG,MF,28-036,3.2,162,8,56,90,17,0,162,1,0,0.0,0,0.0,72,242,103,2,0,0,6,0,100,4,Matches
Jack Stephens,eng ENG,DF,29-013,2.0,78,13,51,27,1,1,78,0,0,,0,,32,166,89,0,0,0,0,0,40,1,Matches
Dango Ouattara,bf BFA,MF,20-363,2.0,87,11,21,29,39,13,87,7,1,14.3,5,71.4,47,357,128,8,2,3,5,3,59,12,Matches
Joe Rothwell,eng ENG,"MF,DF",28-029,1.7,86,5,21,45,21,1,86,6,2,33.3,4,66.7,38,258,115,0,1,0,0,0,45,1,Matches
Antoine Semenyo,gh GHA,FW,23-033,1.0,29,1,3,17,11,2,29,2,1,50.0,1,50.0,18,201,118,3,5,2,4,1,22,3,Matches
Hamed Junior Traorè,ci CIV,FW,22-358,0.7,31,0,7,14,14,1,31,3,2,66.7,1,33.3,18,247,132,5,4,1,4,1,14,3,Matches
Siriki Dembélé,ci CIV,"FW,MF",26-155,1.2,71,1,10,30,33,3,71,10,6,60.0,3,30.0,47,311,160,5,2,1,9,5,50,11,Matches
Junior Stanislas,eng ENG,MF,33-075,0.7,34,0,3,15,16,3,34,0,0,,0,,18,92,13,0,1,0,1,1,27,5,Matches
Jamal Lowe,jm JAM,"MF,FW",28-203,0.1,4,0,0,3,1,0,4,0,0,,0,,2,7,1,0,0,0,0,0,3,0,Matches
Matías Viña,uy URU,MF,25-092,0.1,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,1,0,Matches
Owen Bevan,wls WAL,DF,19-106,0.1,3,0,3,0,0,0,3,0,0,,0,,1,0,0,0,0,0,0,0,1,0,Matches
Emiliano Marcondes,dk DEN,MF,27-337,0.1,3,1,1,2,0,0,3,1,0,0.0,0,0.0,2,11,7,0,0,0,0,0,2,0,Matches
Squad Total,,,26.9,21.0,10792,1578,4393,4263,2278,354,10792,337,130,38.6,177,52.5,5426,29349,14284,267,214,67,322,218,6269,508,
Opponent Total,,,27.3,21.0,14848,1091,3932,6684,4351,558,14842,319,134,42.0,147,46.1,9104,44514,23096,425,314,92,323,205,10353,1099,
