Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Jefferson Lerma,co COL,"MF,DF",28-107,20.9,743,909,81.7,11655,4132,361,416,86.8,308,346,89.0,43,90,47.8,0,0.5,1.2,-0.5,8,63,13,1,67,Matches
Adam Smith,eng ENG,DF,31-286,19.2,626,809,77.4,10627,4608,307,345,89.0,252,309,81.6,57,122,46.7,1,0.6,0.9,0.4,7,50,17,10,60,Matches
Philip Billing,dk DEN,"MF,FW",26-243,16.3,380,508,74.8,5588,1422,208,255,81.6,119,150,79.3,25,47,53.2,1,1.6,1.0,-0.6,13,21,5,2,35,Matches
Chris Mepham,wls WAL,DF,25-096,16.9,575,696,82.6,10814,4092,197,219,90.0,322,355,90.7,52,103,50.5,0,0.2,0.5,-0.2,3,25,2,0,26,Matches
Lewis Cook,eng ENG,MF,26-006,16.5,509,646,78.8,8549,2670,244,277,88.1,207,241,85.9,44,79,55.7,2,2.2,2.0,-0.2,21,49,11,8,54,Matches
Marcos Senesi,ar ARG,DF,25-275,15.3,564,715,78.9,11429,5121,172,198,86.9,318,361,88.1,67,131,51.1,0,0.2,0.2,-0.2,3,43,2,1,27,Matches
Dominic Solanke,eng ENG,"FW,MF",25-148,14.9,162,231,70.1,2199,459,102,126,81.0,45,58,77.6,9,12,75.0,3,1.2,0.9,1.8,9,8,6,0,22,Matches
Marcus Tavernier,eng ENG,"MF,FW",23-324,14.3,346,506,68.4,5560,1449,197,237,83.1,103,147,70.1,33,83,39.8,4,2.2,1.0,1.8,15,19,8,3,31,Matches
Jordan Zemura,zw ZIM,DF,23-087,12.5,329,466,70.6,4750,2529,188,223,84.3,103,143,72.0,18,44,40.9,1,1.8,1.8,-0.8,17,28,10,4,33,Matches
Kieffer Moore,wls WAL,FW,30-185,12.4,186,317,58.7,2565,459,103,165,62.4,54,84,64.3,10,18,55.6,0,0.3,0.4,-0.3,4,16,5,0,20,Matches
Ryan Christie,sct SCO,"MF,FW",27-352,11.5,285,353,80.7,4492,1068,151,179,84.4,99,109,90.8,22,39,56.4,0,1.0,1.1,-1.0,14,26,12,1,46,Matches
Neto,br BRA,GK,33-205,10.5,204,314,65.0,6766,5728,41,41,100.0,64,67,95.5,98,205,47.8,0,0.0,0.0,0.0,0,8,0,0,0,Matches
Mark Travers,ie IRL,GK,23-267,10.5,244,324,75.3,7221,5230,83,83,100.0,82,83,98.8,78,157,49.7,0,0.0,0.0,0.0,0,4,0,0,0,Matches
Lloyd Kelly,eng ENG,DF,24-126,10.0,388,490,79.2,7746,3403,112,128,87.5,214,236,90.7,51,104,49.0,2,0.1,0.4,1.9,3,29,3,2,15,Matches
Jaidon Anthony,eng ENG,"MF,FW",23-070,8.0,232,321,72.3,3391,939,133,153,86.9,63,90,70.0,19,35,54.3,0,0.5,0.7,-0.5,7,14,12,4,32,Matches
Ryan Fredericks,eng ENG,DF,30-122,5.0,138,202,68.3,2000,681,79,90,87.8,50,79,63.3,4,14,28.6,0,0.1,0.3,-0.1,1,4,6,1,14,Matches
Jack Stacey,eng ENG,DF,26-309,3.3,72,126,57.1,1054,369,41,52,78.8,26,47,55.3,3,12,25.0,0,0.0,0.0,0.0,0,6,1,1,2,Matches
Ben Pearson,eng ENG,MF,28-036,3.2,108,134,80.6,1814,501,50,58,86.2,45,55,81.8,8,15,53.3,0,0.0,0.0,0.0,0,8,0,0,5,Matches
Jack Stephens,eng ENG,DF,29-013,2.0,58,64,90.6,1225,527,17,19,89.5,30,32,93.8,11,11,100.0,0,0.1,0.1,-0.1,1,3,0,0,5,Matches
Dango Ouattara,bf BFA,MF,20-363,2.0,33,50,66.0,580,188,14,19,73.7,13,19,68.4,4,7,57.1,1,0.1,0.0,0.9,1,3,1,1,1,Matches
Joe Rothwell,eng ENG,"MF,DF",28-029,1.7,60,70,85.7,1012,291,28,31,90.3,25,27,92.6,5,9,55.6,0,0.2,0.5,-0.2,3,5,4,0,8,Matches
