Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jefferson Lerma,co COL,"MF,DF",28-107,21,21,1883.0,20.9,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.3,1.3,0.5,1.8,13.0,67.0,17.0,0.1,0.0,0.1,0.1,0.1,0.06,0.02,0.09,0.06,0.09,Matches
Adam Smith,eng ENG,DF,31-286,20,20,1727.0,19.2,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,0.6,1.0,16.0,60.0,18.0,0.0,0.05,0.05,0.0,0.05,0.02,0.03,0.05,0.02,0.05,Matches
Philip Billing,dk DEN,"MF,FW",26-243,20,18,1465.0,16.3,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,1.6,1.6,1.6,3.2,22.0,35.0,58.0,0.25,0.06,0.31,0.25,0.31,0.1,0.1,0.2,0.1,0.2,Matches
Chris Mepham,wls WAL,DF,25-096,17,17,1521.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.2,0.5,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Lewis Cook,eng ENG,MF,26-006,19,17,1486.0,16.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,2.2,2.4,9.0,54.0,8.0,0.0,0.12,0.12,0.0,0.12,0.01,0.13,0.14,0.01,0.14,Matches
Marcos Senesi,ar ARG,DF,25-275,17,16,1376.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,3.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Dominic Solanke,eng ENG,"FW,MF",25-148,16,15,1341.0,14.9,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,2.9,2.9,1.2,4.1,26.0,22.0,69.0,0.2,0.2,0.4,0.2,0.4,0.2,0.08,0.28,0.2,0.28,Matches
Marcus Tavernier,eng ENG,"MF,FW",23-324,15,15,1283.0,14.3,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,1.7,1.7,2.2,3.8,49.0,31.0,99.0,0.14,0.28,0.42,0.14,0.42,0.12,0.15,0.27,0.12,0.27,Matches
Jordan Zemura,zw ZIM,DF,23-087,15,13,1127.0,12.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,1.8,2.2,32.0,33.0,37.0,0.0,0.08,0.08,0.0,0.08,0.03,0.15,0.18,0.03,0.18,Matches
Kieffer Moore,wls WAL,FW,30-185,20,12,1119.0,12.4,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.2,3.2,0.3,3.5,10.0,20.0,44.0,0.32,0.0,0.32,0.32,0.32,0.26,0.02,0.28,0.26,0.28,Matches
Ryan Christie,sct SCO,"MF,FW",27-352,19,12,1036.0,11.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.6,1.6,1.0,2.6,21.0,46.0,37.0,0.09,0.0,0.09,0.09,0.09,0.14,0.09,0.22,0.14,0.22,Matches
Neto,br BRA,GK,33-205,11,11,945.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mark Travers,ie IRL,GK,23-267,11,10,945.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lloyd Kelly,eng ENG,DF,24-126,10,10,900.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.3,4.0,15.0,1.0,0.0,0.2,0.2,0.0,0.2,0.01,0.01,0.03,0.01,0.03,Matches
Jaidon Anthony,eng ENG,"MF,FW",23-070,16,6,721.0,8.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.4,1.4,0.5,1.9,18.0,32.0,41.0,0.37,0.0,0.37,0.37,0.37,0.18,0.06,0.24,0.18,0.24,Matches
Ryan Fredericks,eng ENG,DF,30-122,8,5,451.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,11.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
Jack Stacey,eng ENG,DF,26-309,9,3,297.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,9.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Ben Pearson,eng ENG,MF,28-036,7,3,286.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Jack Stephens,eng ENG,DF,29-013,4,2,183.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Dango Ouattara,bf BFA,MF,20-363,2,2,180.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,1.0,8.0,1.0,12.0,0.0,0.5,0.5,0.0,0.5,0.45,0.04,0.49,0.45,0.49,Matches
Joe Rothwell,eng ENG,"MF,DF",28-029,7,1,157.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,Matches
Antoine Semenyo,gh GHA,FW,23-033,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches
Hamed Junior Traorè,ci CIV,FW,22-358,1,1,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Siriki Dembélé,ci CIV,"FW,MF",26-155,6,0,110.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,5.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.15,0.25,0.41,0.15,0.41,Matches
Junior Stanislas,eng ENG,MF,33-075,4,0,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.19,0.25,0.05,0.25,Matches
Jamal Lowe,jm JAM,"MF,FW",28-203,2,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matías Viña,uy URU,MF,25-092,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Owen Bevan,wls WAL,DF,19-106,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emiliano Marcondes,dk DEN,MF,27-337,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
