Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
David Raya,es ESP,GK,27-147,21.0,1,0,0,0,2,0,0,0,0,0,0,0,27,11,1,91.7,Matches
Bryan Mbeumo,cm CMR,FW,23-186,17.6,4,0,0,12,12,3,68,4,6,0,0,0,80,16,32,33.3,Matches
Mathias Jensen,dk DEN,MF,27-039,17.6,3,0,0,20,12,1,93,21,20,0,0,0,109,7,12,36.8,Matches
Rico Henry,eng ENG,DF,25-216,19.9,0,0,0,15,21,1,47,16,17,0,0,0,104,19,31,38.0,Matches
Ben Mee,eng ENG,DF,33-141,19.4,1,0,0,9,8,1,5,28,11,0,0,0,110,73,45,61.9,Matches
Ivan Toney,eng ENG,FW,26-330,18.9,8,0,0,33,42,16,15,9,9,3,0,0,55,57,72,44.2,Matches
Vitaly Janelt,de GER,"MF,DF",24-275,15.0,1,0,0,14,15,0,13,16,19,0,0,0,106,21,16,56.8,Matches
Ethan Pinnock,jm JAM,DF,29-256,13.0,0,0,0,4,4,0,3,12,7,0,0,1,49,51,27,65.4,Matches
Josh Dasilva,eng ENG,MF,24-109,10.9,1,0,0,9,14,0,25,3,7,0,0,0,43,6,5,54.5,Matches
Christian Nørgaard,dk DEN,MF,28-336,9.7,0,0,0,12,9,0,3,22,12,0,0,0,90,8,10,44.4,Matches
Yoane Wissa,cd COD,FW,26-159,10.2,2,0,0,9,11,10,9,4,8,1,0,0,39,10,13,43.5,Matches
Mads Roerslev,dk DEN,DF,23-230,9.4,0,0,0,2,3,0,17,6,8,0,0,0,40,5,8,38.5,Matches
Aaron Hickey,sct SCO,DF,20-244,8.2,4,0,0,7,17,0,13,11,14,0,0,0,36,4,6,40.0,Matches
Mathias Jørgensen,dk DEN,DF,32-292,8.3,1,0,0,6,3,2,1,14,7,0,0,1,35,10,10,50.0,Matches
Kristoffer Ajer,no NOR,DF,24-298,7.5,0,0,0,5,7,0,6,7,7,0,1,0,31,10,9,52.6,Matches
Pontus Jansson,se SWE,DF,31-361,5.7,0,0,0,1,1,1,0,8,2,0,0,0,16,17,9,65.4,Matches
Frank Onyeka,ng NGA,MF,25-039,4.9,0,0,0,9,11,1,1,5,9,0,0,0,31,5,10,33.3,Matches
Shandon Baptiste,gd GRN,MF,24-307,4.8,1,0,0,6,11,1,5,5,5,0,0,0,32,3,6,33.3,Matches
Keane Lewis-Potter,eng ENG,"FW,MF",21-352,3.4,0,0,0,1,4,1,6,0,0,0,0,0,18,2,4,33.3,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",22-221,3.2,2,0,0,5,4,0,9,2,7,0,0,0,24,1,7,12.5,Matches
Saman Ghoddos,ir IRN,"MF,FW",29-156,1.0,0,0,0,1,2,0,2,3,0,0,0,0,19,2,3,40.0,Matches
Sergi Canós,es ESP,"FW,DF",26-007,0.9,0,0,0,3,3,0,3,0,0,0,0,0,6,0,1,0.0,Matches
Kevin Schade,de GER,"FW,MF",21-074,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0,Matches
Mads Bech Sørensen,dk DEN,"DF,MF",24-033,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0,Matches
Halil Dervişoğlu,tr TUR,MF,23-063,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,26.8,21.0,29,0,0,183,216,38,344,197,175,4,1,2,1100,341,337,50.3,
Opponent Total,,,27.2,21.0,34,1,0,224,173,35,426,171,198,1,5,1,1136,337,341,49.7,
