Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
David Raya,es ESP,GK,27-147,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Bryan Mbeumo,cm CMR,FW,23-186,21,21,1587.0,17.6,5.0,2.0,7.0,4.0,1.0,1.0,4.0,0.0,5.5,4.7,2.3,7.0,31.0,42.0,112.0,0.28,0.11,0.4,0.23,0.34,0.31,0.13,0.44,0.27,0.39,Matches
Mathias Jensen,dk DEN,MF,27-039,21,21,1585.0,17.6,3.0,4.0,7.0,3.0,0.0,0.0,3.0,0.0,1.3,1.3,2.1,3.3,14.0,72.0,40.0,0.17,0.23,0.4,0.17,0.4,0.07,0.12,0.19,0.07,0.19,Matches
Rico Henry,eng ENG,DF,25-216,20,20,1795.0,19.9,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.5,2.1,31.0,59.0,68.0,0.0,0.1,0.1,0.0,0.1,0.03,0.07,0.1,0.03,0.1,Matches
Ben Mee,eng ENG,DF,33-141,20,20,1748.0,19.4,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.6,1.6,0.2,1.7,2.0,32.0,7.0,0.15,0.0,0.15,0.15,0.15,0.08,0.01,0.09,0.08,0.09,Matches
Ivan Toney,eng ENG,FW,26-330,19,19,1700.0,18.9,13.0,3.0,16.0,9.0,4.0,4.0,8.0,0.0,11.0,7.8,2.7,10.5,5.0,42.0,91.0,0.69,0.16,0.85,0.48,0.64,0.58,0.14,0.72,0.41,0.56,Matches
Vitaly Janelt,de GER,"MF,DF",24-275,21,14,1349.0,15.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.9,1.9,0.8,2.7,10.0,44.0,15.0,0.13,0.07,0.2,0.13,0.2,0.13,0.05,0.18,0.13,0.18,Matches
Ethan Pinnock,jm JAM,DF,29-256,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,1.6,1.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.12,0.07,0.12,Matches
Josh Dasilva,eng ENG,MF,24-109,21,11,979.0,10.9,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,0.9,0.9,1.4,2.3,42.0,41.0,37.0,0.28,0.18,0.46,0.28,0.46,0.09,0.12,0.21,0.09,0.21,Matches
Christian Nørgaard,dk DEN,MF,28-336,11,10,869.0,9.7,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.6,0.0,33.0,2.0,0.1,0.1,0.21,0.1,0.21,0.08,0.09,0.17,0.08,0.17,Matches
Yoane Wissa,cd COD,FW,26-159,21,9,917.0,10.2,4.0,2.0,6.0,4.0,0.0,0.0,2.0,0.0,3.3,3.3,2.2,5.4,12.0,19.0,62.0,0.39,0.2,0.59,0.39,0.59,0.32,0.21,0.53,0.32,0.53,Matches
Mads Roerslev,dk DEN,DF,23-230,13,9,843.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.3,7.0,16.0,27.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.14,0.03,0.14,Matches
Aaron Hickey,sct SCO,DF,20-244,10,9,739.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.0,0.1,22.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.02,Matches
Mathias Jørgensen,dk DEN,DF,32-292,13,8,745.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.1,0.5,1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.06,0.06,0.06,Matches
Kristoffer Ajer,no NOR,DF,24-298,8,8,673.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10.0,27.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches
Pontus Jansson,se SWE,DF,31-361,7,6,515.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Frank Onyeka,ng NGA,MF,25-039,12,4,442.0,4.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.9,3.0,15.0,10.0,0.0,0.2,0.2,0.0,0.2,0.07,0.11,0.18,0.07,0.18,Matches
Shandon Baptiste,gd GRN,MF,24-307,12,4,431.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.7,0.9,8.0,26.0,18.0,0.0,0.0,0.0,0.0,0.0,0.04,0.15,0.19,0.04,0.19,Matches
Keane Lewis-Potter,eng ENG,"FW,MF",21-352,9,3,306.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.2,1.7,8.0,4.0,35.0,0.0,0.29,0.29,0.0,0.29,0.14,0.37,0.51,0.14,0.51,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",22-221,11,1,285.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.5,0.9,4.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.15,0.14,0.3,0.15,0.3,Matches
Saman Ghoddos,ir IRN,"MF,FW",29-156,9,0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.27,0.05,0.27,Matches
Sergi Canós,es ESP,"FW,DF",26-007,5,0,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.11,0.09,0.11,Matches
Kevin Schade,de GER,"FW,MF",21-074,2,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mads Bech Sørensen,dk DEN,"DF,MF",24-033,4,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Halil Dervişoğlu,tr TUR,MF,23-063,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.31,0.31,Matches
Matthew Cox,eng ENG,GK,19-283,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tristan Crama,fr FRA,MF,21-093,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Charlie Goode,eng ENG,DF,27-190,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Finley Stevens,wls WAL,DF,19-305,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Thomas Strakosha,al ALB,GK,27-327,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ryan Trevitt,eng ENG,MF,19-334,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Yehor Yarmoliuk,ua UKR,MF,18-345,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.8,21,231,1890.0,21.0,34.0,19.0,53.0,29.0,5.0,5.0,29.0,0.0,29.5,25.7,18.7,44.4,217.0,594.0,589.0,1.62,0.9,2.52,1.38,2.29,1.41,0.89,2.3,1.22,2.11,
Opponent Total,,,27.2,21,231,1890.0,21.0,26.0,19.0,45.0,25.0,1.0,1.0,34.0,1.0,26.3,25.7,19.7,45.4,422.0,863.0,855.0,1.24,0.9,2.14,1.19,2.1,1.25,0.94,2.19,1.22,2.16,
