Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
David Raya,es ESP,GK,27-147,21.0,28,1,0,7,2,28.2,0.24,2.2,0.11,186,485,38.4,731,100,50.8,39.3,160,71.3,52.4,333,31,9.3,31,1.48,15.6,Matches
Squad Total,,,26.8,21.0,28,1,0,7,2,28.2,0.24,2.2,0.11,186,485,38.4,731,100,50.8,39.3,160,71.3,52.4,333,31,9.3,31,1.48,15.6,
Opponent Total,,,27.2,21.0,35,5,1,5,1,32.2,0.32,-1.8,-0.09,82,274,29.9,457,104,39.2,35.5,140,67.9,48.4,281,19,6.8,29,1.38,15.6,
