Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
David Raya,es ESP,GK,27-147,21.0,568,893,63.6,18869,14702,82,85,96.5,227,233,97.4,258,571,45.2,0,0.1,0.1,-0.1,2,37,3,0,8,Matches
Bryan Mbeumo,cm CMR,FW,23-186,17.6,318,476,66.8,4958,1505,182,224,81.3,92,144,63.9,29,59,49.2,2,2.3,2.3,-0.3,22,15,24,8,42,Matches
Mathias Jensen,dk DEN,MF,27-039,17.6,601,884,68.0,11785,4374,267,327,81.7,216,305,70.8,102,205,49.8,4,2.1,2.1,1.9,23,69,17,6,72,Matches
Rico Henry,eng ENG,DF,25-216,19.9,450,629,71.5,6883,2311,256,298,85.9,148,210,70.5,32,83,38.6,2,1.5,1.7,0.5,13,36,20,9,59,Matches
Ben Mee,eng ENG,DF,33-141,19.4,739,981,75.3,14124,5769,276,328,84.1,363,440,82.5,91,177,51.4,0,0.2,0.4,-0.2,3,33,4,0,32,Matches
Ivan Toney,eng ENG,FW,26-330,18.9,273,456,59.9,3412,1118,169,246,68.7,63,107,58.9,12,24,50.0,3,2.7,1.8,0.3,18,30,15,3,42,Matches
Vitaly Janelt,de GER,"MF,DF",24-275,15.0,485,617,78.6,8376,2381,246,282,87.2,174,213,81.7,55,87,63.2,1,0.8,0.7,0.2,8,43,10,4,44,Matches
Ethan Pinnock,jm JAM,DF,29-256,13.0,353,486,72.6,6372,2361,136,175,77.7,173,214,80.8,34,74,45.9,0,0.6,0.4,-0.6,4,23,0,0,25,Matches
Josh Dasilva,eng ENG,MF,24-109,10.9,337,424,79.5,5721,1408,169,193,87.6,133,151,88.1,30,52,57.7,2,1.4,1.3,0.6,9,26,16,4,41,Matches
Christian Nørgaard,dk DEN,MF,28-336,9.7,310,425,72.9,5043,1770,157,197,79.7,123,166,74.1,22,41,53.7,1,0.8,0.7,0.2,5,39,3,0,33,Matches
Yoane Wissa,cd COD,FW,26-159,10.2,145,205,70.7,1921,398,96,113,85.0,32,46,69.6,7,17,41.2,2,2.2,0.7,-0.2,8,16,6,0,19,Matches
Mads Roerslev,dk DEN,DF,23-230,9.4,151,237,63.7,2402,888,83,109,76.1,52,68,76.5,12,39,30.8,0,1.0,0.7,-1.0,7,12,6,4,16,Matches
Aaron Hickey,sct SCO,DF,20-244,8.2,256,316,81.0,3714,1101,157,174,90.2,83,101,82.2,10,25,40.0,0,0.0,0.1,0.0,1,25,5,1,32,Matches
Mathias Jørgensen,dk DEN,DF,32-292,8.3,272,339,80.2,4632,1970,118,133,88.7,138,170,81.2,12,29,41.4,0,0.1,0.1,-0.1,1,23,0,0,22,Matches
Kristoffer Ajer,no NOR,DF,24-298,7.5,238,317,75.1,4141,1706,122,145,84.1,94,118,79.7,21,38,55.3,0,0.0,0.1,0.0,1,20,1,1,27,Matches
Pontus Jansson,se SWE,DF,31-361,5.7,196,241,81.3,3815,1212,54,65,83.1,124,139,89.2,18,31,58.1,0,0.0,0.1,0.0,0,9,0,0,13,Matches
Frank Onyeka,ng NGA,MF,25-039,4.9,97,129,75.2,1481,384,54,67,80.6,33,43,76.7,6,11,54.5,1,0.5,0.7,0.5,5,11,3,0,15,Matches
Shandon Baptiste,gd GRN,MF,24-307,4.8,154,186,82.8,2498,701,85,96,88.5,54,62,87.1,10,16,62.5,0,0.7,0.5,-0.7,6,13,8,2,26,Matches
Keane Lewis-Potter,eng ENG,"FW,MF",21-352,3.4,40,70,57.1,489,91,26,40,65.0,10,13,76.9,1,8,12.5,1,1.2,0.3,-0.2,5,0,2,1,4,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",22-221,3.2,91,128,71.1,1247,520,50,55,90.9,29,43,67.4,5,11,45.5,0,0.5,0.5,-0.5,5,13,6,0,14,Matches
Saman Ghoddos,ir IRN,"MF,FW",29-156,1.0,35,48,72.9,517,176,20,22,90.9,13,17,76.5,2,8,25.0,0,0.2,0.1,-0.2,1,2,0,0,5,Matches
Sergi Canós,es ESP,"FW,DF",26-007,0.9,23,43,53.5,268,76,14,18,77.8,4,15,26.7,1,2,50.0,0,0.0,0.0,0.0,1,2,1,0,2,Matches
Kevin Schade,de GER,"FW,MF",21-074,0.3,5,9,55.6,58,0,2,2,100.0,2,4,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Mads Bech Sørensen,dk DEN,"DF,MF",24-033,0.2,7,11,63.6,142,49,3,3,100.0,3,4,75.0,1,4,25.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
Halil Dervişoğlu,tr TUR,MF,23-063,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,26.8,21.0,6144,8550,71.9,112868,46971,2824,3397,83.1,2383,3026,78.8,771,1613,47.8,19,18.7,15.4,0.3,148,499,150,43,594,
Opponent Total,,,27.2,21.0,8821,11148,79.1,144112,49853,4505,5083,88.6,3288,3934,83.6,708,1457,48.6,19,19.7,20.0,-0.7,243,753,212,48,863,
