Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
David Raya,es ESP,GK,27-147,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,1.57,35.0,28.0,7.0,0.33,,29.5,26.3,3.2,0.15,,Matches
Bryan Mbeumo,cm CMR,FW,23-186,21,1587.0,76.0,84.0,17.6,21,76.0,2,0,,0,1.57,31.0,25.0,6.0,0.34,0.04,23.4,22.1,1.2,0.07,-0.53,Matches
Mathias Jensen,dk DEN,MF,27-039,21,1585.0,75.0,83.9,17.6,21,75.0,6,0,,0,1.57,28.0,24.0,4.0,0.23,-0.66,22.7,21.2,1.5,0.08,-0.43,Matches
Rico Henry,eng ENG,DF,25-216,20,1795.0,90.0,95.0,19.9,20,90.0,18,0,,0,1.5,33.0,28.0,5.0,0.25,-1.64,28.1,25.5,2.6,0.13,-0.45,Matches
Ben Mee,eng ENG,DF,33-141,20,1748.0,87.0,92.5,19.4,20,87.0,18,0,,1,1.65,33.0,22.0,11.0,0.57,3.1,27.9,23.0,4.9,0.25,1.3,Matches
Ivan Toney,eng ENG,FW,26-330,19,1700.0,89.0,89.9,18.9,19,89.0,17,0,,0,1.53,30.0,25.0,5.0,0.26,-0.68,26.2,22.8,3.4,0.18,0.25,Matches
Vitaly Janelt,de GER,"MF,DF",24-275,21,1349.0,64.0,71.4,15.0,14,81.0,8,7,31.0,0,1.57,22.0,21.0,1.0,0.07,-0.93,21.2,18.4,2.7,0.18,0.1,Matches
Ethan Pinnock,jm JAM,DF,29-256,13,1170.0,90.0,61.9,13.0,13,90.0,13,0,,0,1.77,20.0,16.0,4.0,0.31,-0.07,18.2,16.7,1.4,0.11,-0.11,Matches
Josh Dasilva,eng ENG,MF,24-109,21,979.0,47.0,51.8,10.9,11,69.0,0,10,22.0,0,1.57,23.0,12.0,11.0,1.01,1.41,17.4,12.2,5.1,0.47,0.66,Matches
Christian Nørgaard,dk DEN,MF,28-336,11,869.0,79.0,46.0,9.7,10,84.0,6,1,29.0,0,2.0,20.0,9.0,11.0,1.14,1.49,14.7,11.0,3.7,0.38,0.42,Matches
Yoane Wissa,cd COD,FW,26-159,21,917.0,44.0,48.5,10.2,9,76.0,1,12,20.0,0,1.57,16.0,11.0,5.0,0.49,0.31,16.0,12.5,3.4,0.34,0.36,Matches
Mads Roerslev,dk DEN,DF,23-230,13,843.0,65.0,44.6,9.4,9,85.0,8,4,20.0,8,2.0,17.0,9.0,8.0,0.85,0.94,12.8,12.7,0.1,0.01,-0.26,Matches
Aaron Hickey,sct SCO,DF,20-244,10,739.0,74.0,39.1,8.2,9,79.0,3,1,30.0,1,1.3,15.0,15.0,0.0,0.0,-0.55,11.4,9.8,1.6,0.2,0.07,Matches
Mathias Jørgensen,dk DEN,DF,32-292,13,745.0,57.0,39.4,8.3,8,83.0,6,5,16.0,5,1.85,12.0,12.0,0.0,0.0,-0.55,12.8,13.3,-0.5,-0.06,-0.35,Matches
Kristoffer Ajer,no NOR,DF,24-298,8,673.0,84.0,35.6,7.5,8,84.0,5,0,,3,1.13,6.0,13.0,-7.0,-0.94,-1.97,7.4,9.5,-2.1,-0.28,-0.67,Matches
Pontus Jansson,se SWE,DF,31-361,7,515.0,74.0,27.2,5.7,6,86.0,5,1,1.0,1,1.57,13.0,10.0,3.0,0.52,0.26,7.4,7.5,-0.1,-0.02,-0.23,Matches
Frank Onyeka,ng NGA,MF,25-039,12,442.0,37.0,23.4,4.9,4,65.0,0,8,23.0,3,1.42,7.0,8.0,-1.0,-0.2,-0.7,6.5,8.7,-2.2,-0.45,-0.78,Matches
Shandon Baptiste,gd GRN,MF,24-307,12,431.0,36.0,22.8,4.8,4,68.0,0,8,20.0,0,1.17,6.0,6.0,0.0,0.0,-0.43,6.0,4.9,1.2,0.24,0.12,Matches
Keane Lewis-Potter,eng ENG,"FW,MF",21-352,9,306.0,34.0,16.2,3.4,3,61.0,0,6,20.0,8,1.56,9.0,4.0,5.0,1.47,1.36,6.8,3.9,2.8,0.83,0.81,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",22-221,11,285.0,26.0,15.1,3.2,1,60.0,0,10,23.0,7,1.27,5.0,4.0,1.0,0.32,-0.02,5.5,2.6,2.8,0.9,0.88,Matches
