Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
David Raya,es ESP,GK,27-147,21.0,7,0.33,4,3,0,0,0,0,1,0.05,0,1,0,0,0,0,Matches
Bryan Mbeumo,cm CMR,FW,23-186,17.6,43,2.44,30,11,2,0,0,0,7,0.4,6,1,0,0,0,0,Matches
Mathias Jensen,dk DEN,MF,27-039,17.6,57,3.24,26,26,0,3,1,1,9,0.51,5,2,0,1,0,1,Matches
Rico Henry,eng ENG,DF,25-216,19.9,22,1.1,20,0,0,1,0,1,2,0.1,2,0,0,0,0,0,Matches
Ben Mee,eng ENG,DF,33-141,19.4,10,0.51,7,0,0,2,1,0,0,0.0,0,0,0,0,0,0,Matches
Ivan Toney,eng ENG,FW,26-330,18.9,39,2.06,21,2,3,3,10,0,6,0.32,2,0,1,0,3,0,Matches
Vitaly Janelt,de GER,"MF,DF",24-275,15.0,30,2.0,24,1,2,2,0,1,3,0.2,3,0,0,0,0,0,Matches
Ethan Pinnock,jm JAM,DF,29-256,13.0,8,0.62,4,2,0,2,0,0,1,0.08,1,0,0,0,0,0,Matches
Josh Dasilva,eng ENG,MF,24-109,10.9,32,2.94,27,1,2,1,1,0,5,0.46,4,0,0,0,1,0,Matches
Christian Nørgaard,dk DEN,MF,28-336,9.7,19,1.97,15,0,1,3,0,0,4,0.41,2,0,0,2,0,0,Matches
Yoane Wissa,cd COD,FW,26-159,10.2,23,2.26,17,0,1,1,3,1,5,0.49,3,0,0,0,1,1,Matches
Mads Roerslev,dk DEN,DF,23-230,9.4,11,1.17,11,0,0,0,0,0,1,0.11,1,0,0,0,0,0,Matches
Aaron Hickey,sct SCO,DF,20-244,8.2,7,0.85,5,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Mathias Jørgensen,dk DEN,DF,32-292,8.3,3,0.36,2,1,0,0,0,0,1,0.12,0,1,0,0,0,0,Matches
Kristoffer Ajer,no NOR,DF,24-298,7.5,4,0.53,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pontus Jansson,se SWE,DF,31-361,5.7,1,0.17,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Frank Onyeka,ng NGA,MF,25-039,4.9,12,2.44,8,0,0,1,3,0,4,0.81,3,0,0,0,1,0,Matches
Shandon Baptiste,gd GRN,MF,24-307,4.8,11,2.3,8,0,1,0,2,0,2,0.42,1,0,0,0,1,0,Matches
Keane Lewis-Potter,eng ENG,"FW,MF",21-352,3.4,8,2.35,2,0,2,4,0,0,2,0.59,0,0,0,2,0,0,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",22-221,3.2,12,3.79,9,3,0,0,0,0,1,0.32,1,0,0,0,0,0,Matches
Saman Ghoddos,ir IRN,"MF,FW",29-156,1.0,2,2.02,0,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Sergi Canós,es ESP,"FW,DF",26-007,0.9,3,3.51,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Kevin Schade,de GER,"FW,MF",21-074,0.3,1,3.46,1,0,0,0,0,0,1,3.46,1,0,0,0,0,0,Matches
Mads Bech Sørensen,dk DEN,"DF,MF",24-033,0.2,1,4.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Halil Dervişoğlu,tr TUR,MF,23-063,0.1,1,11.25,0,0,0,1,0,0,1,11.25,0,0,0,1,0,0,Matches
Squad Total,,,26.8,21.0,367,17.48,248,51,14,27,23,4,56,2.67,35,5,1,6,7,2,
Opponent Total,,,27.2,21.0,564,26.86,437,43,23,38,14,9,46,2.19,31,6,3,4,1,1,
