Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
David Raya,es ESP,GK,27-147,21.0,893,634,257,97,0,11,0,0,0,0,0,0,568,2,1,Matches
Bryan Mbeumo,cm CMR,FW,23-186,17.6,476,417,57,14,3,1,68,10,32,15,5,4,318,2,17,Matches
Mathias Jensen,dk DEN,MF,27-039,17.6,884,665,216,45,2,16,93,87,54,25,15,5,601,3,17,Matches
Rico Henry,eng ENG,DF,25-216,19.9,629,552,74,0,4,2,47,74,0,0,0,0,450,3,11,Matches
Ben Mee,eng ENG,DF,33-141,19.4,981,896,80,23,0,6,5,56,0,0,0,0,739,5,12,Matches
Ivan Toney,eng ENG,FW,26-330,18.9,456,438,17,3,7,1,15,4,1,0,0,0,273,1,14,Matches
Vitaly Janelt,de GER,"MF,DF",24-275,15.0,617,587,26,11,3,10,13,14,1,1,0,0,485,4,9,Matches
Ethan Pinnock,jm JAM,DF,29-256,13.0,486,448,35,8,0,1,3,27,0,0,0,0,353,3,2,Matches
Josh Dasilva,eng ENG,MF,24-109,10.9,424,406,18,6,1,0,25,8,4,3,0,0,337,0,14,Matches
Christian Nørgaard,dk DEN,MF,28-336,9.7,425,413,8,3,2,5,3,2,0,0,0,0,310,4,2,Matches
Yoane Wissa,cd COD,FW,26-159,10.2,205,197,5,1,4,0,9,1,0,0,0,0,145,3,10,Matches
Mads Roerslev,dk DEN,DF,23-230,9.4,237,220,17,1,2,0,17,16,0,0,0,0,151,0,17,Matches
Aaron Hickey,sct SCO,DF,20-244,8.2,316,282,34,6,0,1,13,28,0,0,0,0,256,0,7,Matches
Mathias Jørgensen,dk DEN,DF,32-292,8.3,339,301,37,5,0,0,1,28,0,0,0,0,272,1,0,Matches
Kristoffer Ajer,no NOR,DF,24-298,7.5,317,270,46,7,0,4,6,39,0,0,0,0,238,1,8,Matches
Pontus Jansson,se SWE,DF,31-361,5.7,241,236,5,5,1,0,0,0,0,0,0,0,196,0,1,Matches
Frank Onyeka,ng NGA,MF,25-039,4.9,129,128,1,0,0,0,1,1,0,0,0,0,97,0,2,Matches
Shandon Baptiste,gd GRN,MF,24-307,4.8,186,182,2,1,2,0,5,1,0,0,0,0,154,2,4,Matches
Keane Lewis-Potter,eng ENG,"FW,MF",21-352,3.4,70,68,2,0,1,1,6,1,0,0,0,0,40,0,3,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",22-221,3.2,128,114,11,8,1,0,9,1,1,1,0,0,91,3,5,Matches
Saman Ghoddos,ir IRN,"MF,FW",29-156,1.0,48,44,4,1,1,0,2,1,1,0,1,0,35,0,1,Matches
Sergi Canós,es ESP,"FW,DF",26-007,0.9,43,39,3,1,0,0,3,2,0,0,0,0,23,1,0,Matches
Kevin Schade,de GER,"FW,MF",21-074,0.3,9,9,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Mads Bech Sørensen,dk DEN,"DF,MF",24-033,0.2,11,7,4,0,0,0,0,4,0,0,0,0,7,0,0,Matches
Halil Dervişoğlu,tr TUR,MF,23-063,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.8,21.0,8550,7553,959,246,34,59,344,405,94,45,21,9,6144,38,157,
Opponent Total,,,27.2,21.0,11148,10154,959,207,27,58,426,429,117,59,44,3,8821,35,176,
