Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
David Raya,es ESP,GK,27-147,21.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,6,1,Matches
Bryan Mbeumo,cm CMR,FW,23-186,17.6,11,6,5,3,3,4,18,22.2,14,10,0,10,4,15,10,0,Matches
Mathias Jensen,dk DEN,MF,27-039,17.6,43,20,17,18,8,16,50,32.0,34,31,0,31,21,64,13,1,Matches
Rico Henry,eng ENG,DF,25-216,19.9,35,17,14,15,6,13,19,68.4,6,19,6,13,16,51,48,1,Matches
Ben Mee,eng ENG,DF,33-141,19.4,21,11,13,8,0,9,18,50.0,9,31,26,5,28,49,66,1,Matches
Ivan Toney,eng ENG,FW,26-330,18.9,15,9,3,6,6,6,13,46.2,7,16,6,10,9,24,20,0,Matches
Vitaly Janelt,de GER,"MF,DF",24-275,15.0,39,19,17,15,7,17,32,53.1,15,17,6,11,16,55,21,0,Matches
Ethan Pinnock,jm JAM,DF,29-256,13.0,13,7,6,2,5,2,5,40.0,3,14,12,2,12,25,118,1,Matches
Josh Dasilva,eng ENG,MF,24-109,10.9,14,7,5,5,4,5,12,41.7,7,11,4,7,3,17,5,0,Matches
Christian Nørgaard,dk DEN,MF,28-336,9.7,23,12,10,13,0,7,20,35.0,13,16,6,10,22,45,19,2,Matches
Yoane Wissa,cd COD,FW,26-159,10.2,13,8,3,6,4,6,8,75.0,2,4,0,4,4,17,11,0,Matches
Mads Roerslev,dk DEN,DF,23-230,9.4,14,8,12,2,0,8,20,40.0,12,11,5,6,6,20,25,0,Matches
Aaron Hickey,sct SCO,DF,20-244,8.2,19,14,11,8,0,8,16,50.0,8,10,4,6,11,30,11,0,Matches
Mathias Jørgensen,dk DEN,DF,32-292,8.3,14,7,8,6,0,8,15,53.3,7,17,11,6,14,28,27,1,Matches
Kristoffer Ajer,no NOR,DF,24-298,7.5,10,7,4,4,2,8,14,57.1,6,5,4,1,7,17,19,0,Matches
Pontus Jansson,se SWE,DF,31-361,5.7,3,2,2,1,0,2,3,66.7,1,8,6,2,8,11,25,0,Matches
Frank Onyeka,ng NGA,MF,25-039,4.9,12,9,6,5,1,7,15,46.7,8,8,2,6,5,17,7,0,Matches
Shandon Baptiste,gd GRN,MF,24-307,4.8,7,5,3,3,1,5,11,45.5,6,4,1,3,5,12,7,0,Matches
Keane Lewis-Potter,eng ENG,"FW,MF",21-352,3.4,1,0,0,1,0,0,0,,0,5,1,4,0,1,2,0,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",22-221,3.2,9,7,6,2,1,5,17,29.4,12,4,0,4,2,11,5,0,Matches
Saman Ghoddos,ir IRN,"MF,FW",29-156,1.0,1,0,0,1,0,1,2,50.0,1,3,1,2,3,4,2,0,Matches
Sergi Canós,es ESP,"FW,DF",26-007,0.9,0,0,0,0,0,0,2,0.0,2,3,1,2,0,0,1,0,Matches
Kevin Schade,de GER,"FW,MF",21-074,0.3,1,0,1,0,0,0,0,,0,1,0,1,0,1,0,0,Matches
Mads Bech Sørensen,dk DEN,"DF,MF",24-033,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches
Halil Dervişoğlu,tr TUR,MF,23-063,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Squad Total,,,26.8,21.0,318,175,146,124,48,137,313,43.8,176,248,102,146,197,515,469,8,
Opponent Total,,,27.2,21.0,341,198,158,125,58,133,255,52.2,122,183,41,142,171,512,436,6,
